month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
1996-08,,,,0.7296470721003617,,1.9451943179905657,2.5900948689654735,2.6424740167350675,,,,
1996-09,,,,0.7296470721003617,,1.9451943179905657,-0.05095025883184774,2.6424740167350675,,,,
1996-10,3.2466373806207276,,,0.7296470721003617,,1.9451943179905657,0.055455586769935894,2.6424740167350675,,,,
1996-11,,,,0.7296470721003617,,1.9451943179905657,1.3031732670845144,2.6424740167350675,-0.1718208436733912,,,
1996-12,,,,0.7296470721003617,,1.9451943179905657,1.454039535558805,2.6424740167350675,-0.24009025896219519,,,
1997-01,4.128077393458934,,,0.7296470721003617,,1.9451943179905657,0.10306320492625749,2.6424740167350675,-0.15134001908675004,,,
1997-02,,,,0.9731489468809776,,3.175660422542811,,3.8504512093536416,-0.22188508155184747,,,
1997-03,,,,0.9949144775876249,,1.4712382832407114,0.5908233190182103,3.5915989537925177,-0.14906437191045657,,,
1997-04,4.039933392175112,,,0.7296470721003617,,1.9088601838723316,-0.06110192195380778,2.2110535907998625,-0.14223743038157616,,,
1997-05,,,,0.7296470721003617,,1.7476310625869975,1.1288569355283298,1.520780909303535,-0.23553896460960824,,,
1997-06,,,,0.7296470721003617,,1.6094346729138544,-0.009993923055919436,1.1756445685553707,-0.23326331743331477,,,
1997-07,3.9517893908912916,,,0.7296470721003617,,1.6094346729138544,-0.147502600543421,1.1756445685553707,-0.33339179319022727,,,
1997-08,,,,0.5596038634546789,,1.6094346729138544,1.2585115769464117,1.08936048336833,-0.39710991412644436,,,
1997-09,,,,0.7296470721003617,,1.3330418935675683,0.216834835031294,0.3990878018720019,-0.45172544635748746,,,
1997-10,2.717773372917802,,,0.7296470721003617,,0.895419992935948,-0.1223109499925755,0.312803716684961,-0.4653793294152483,,,
1997-11,,,,0.7296470721003617,,1.286976430343187,1.7198259739730495,0.053951461123838036,-0.45855238788636793,,,
1997-12,,,,0.7296470721003617,,1.1027145774456628,1.0718128750840668,-0.2911848796243258,-0.3880073254212705,,,
1998-01,2.629629371633982,,,0.7296470721003617,,0.6650926768140427,0.21676070670569986,-0.8951734759336128,-0.45855238788636793,,,
1998-02,,,,-0.8769211631840428,,1.5864019413016641,,-0.9814575611206536,-0.5495782749381065,,,
1998-03,,,,0.7990247012277991,,-0.0028565399394828873,0.0682348364750275,-1.3265939018688178,-0.8522393493851373,,,
1998-04,1.4837573549443137,,,0.6901970476945626,,0.08927438650927932,-0.04391284819398363,-0.6363212203724898,-0.9773999440812782,,,
1998-05,,,,0.2984174949749113,,0.13533984973366023,0.9902911696932647,-1.4991620722428995,-1.0889066557196578,,,
1998-06,,,,0.4725417406280896,,0.18140531295804135,0.12297837601232543,-1.6717302426169816,-1.2279486981911887,,,
1998-07,1.219325351092852,,,0.4507762099214424,,0.18140531295804135,-0.4222449429097109,-1.6717302426169816,-1.2279486981911887,,,
1998-08,,,,0.38547961780150036,,0.48083082391651827,3.1788745854916614,-1.6717302426169816,-1.2279486981911887,,,
1998-09,,,,0.4507762099214424,,0.7572236032628049,0.7308800990101743,-1.6717302426169816,-1.2279486981911887,,,
1998-10,2.0126213626472382,,,0.7296470721003617,,0.22747077618242245,0.8365081160981233,-1.6717302426169816,-1.2026890145343312,,,
1998-11,,,,0.7296470721003617,,0.3656671658555656,1.8317714765541977,-1.6717302426169816,-1.2279486981911887,,,
1998-12,,,,0.7296470721003617,,0.31960170263118465,2.113798503439012,-1.6717302426169816,-1.2279486981911887,,,
1999-01,3.1584933793369054,,,0.7296470721003617,,0.6190272135896614,-0.5130601307185001,-1.6717302426169816,-1.2279486981911887,,,
1999-02,,,,2.627329280586172,,-0.02588927155167334,,-2.2757188389262684,-1.3688112584037542,,,3.0323596903768233
1999-03,,,,-0.8116245710641009,,1.0566491142212815,0.8084135824522791,-2.3620029241133094,-1.3619843168748738,,,3.622249791819477
1999-04,2.9822053767692647,,,0.6901970476945626,,-0.048922003163864,0.512782849607272,-1.6717302426169816,-1.2279486981911887,,,3.213701840342369
1999-05,,,,0.7119625784012098,,-0.07195473477605445,0.915130864346709,-1.6717302426169816,-1.1275926577166466,,,3.2486590838516447
1999-06,,,,0.6684315169879154,,-0.16408566122481666,0.16613778830124756,-1.6717302426169816,-1.0274641819597343,,,3.2598367212448136
1999-07,2.0126213626472382,,,0.7119625784012098,,-0.141052929612626,-0.389007176772782,-1.6717302426169816,-1.0684258311330166,,,2.398685210591385
1999-08,,,,0.7296470721003617,,-0.09498746638824511,1.7824641653442925,-1.6717302426169816,-0.820380288917029,,,0.496941402773562
1999-09,,,,0.7296470721003617,,-0.0028565399394828873,-0.25995574508664276,-1.6717302426169816,-0.7725916982148662,,,0.6358372837976735
1999-10,1.8363333600795966,,,0.5160728020413841,,0.13533984973366023,-0.6676476695534551,-1.6717302426169816,-0.7270787546889969,,,0.2846552654087603
1999-11,,,,0.25488643356161667,,0.5038635555287087,0.7786989508338916,-1.6717302426169816,-0.4175907387130855,,1.206474452931484,0.2502993851680087
1999-12,,,,0.38547961780150036,,0.4117326290799467,0.7578145652384224,-1.6717302426169816,-0.48586015400188953,,1.206474452931484,0.30469021588788203
2000-01,1.0430373485252105,,,0.3419485563882059,,0.4577980923043278,0.1882929441667904,-1.6717302426169816,-0.4380715632997267,,1.2638118526747624,0.30948683644795616
2000-02,,,,0.6684315169879154,,1.2178782355066156,,-1.4128779870558585,-0.24236590613848866,,1.1491370531882052,0.11996831793910981
2000-03,,,,1.3431629688939815,,1.0336163826090912,0.14571346054353773,-0.6363212203724898,0.023884813487846816,,1.063130953573288,0.6387381752984301
2000-04,2.8059173742016243,,,0.7296470721003617,,0.7572236032628049,-0.030837419846782413,-1.4128779870558585,0.17635317429950906,,1.0057935538300096,0.12887181730467853
2000-05,,,,0.7296470721003617,,0.7111581400384236,0.770614445156961,-1.4991620722428995,0.34019977099263854,,1.0057935538300096,0.07418755829477333
2000-06,,,,0.7296470721003617,,1.2639436987309964,-0.03730847993054644,-1.1540257314947355,-0.09672448685570684,,1.0057935538300096,0.07710206174631791
2000-07,3.1584933793369054,,,0.7296470721003617,,0.6650926768140427,0.13016014437408177,-0.8088893907465717,0.42212306933920335,,1.0057935538300096,0.08566277567406098
2000-08,,,,0.7296470721003617,,0.7111581400384236,2.168105338797262,-0.8088893907465717,0.7748483816646904,,1.0057935538300096,-0.11096659796359107
2000-09,,,,0.7296470721003617,,0.7572236032628049,0.17367012310532334,-0.9814575611206536,0.6428608454396694,,1.0057935538300096,0.10150340199523925
2000-10,2.8940613754854443,,,0.7296470721003617,,0.8263217980993762,0.3880370505952012,-1.2403098166817768,0.5927966075612132,,0.7764439548568954,-0.23381794889930158
2000-11,,,,0.7296470721003617,,1.0105836509969006,1.1942262599690587,-1.2403098166817768,0.5700401357982786,,0.7764439548568954,-0.27944901547436796
2000-12,,,,0.7296470721003617,,0.6190272135896614,0.74311126141562,-0.11861670925024388,0.5472836640353439,,0.7764439548568954,-0.23646817623085517
2001-01,1.7481893587957755,,,0.7296470721003617,,0.6420599452018523,-0.14154817297894134,0.053951461123838036,0.3879883616948013,,1.063130953573288,-0.12029301971229522
2001-02,,,,-0.7680935096508064,,1.494271014852902,,-0.20490079443728493,0.07622469854259652,,1.063130953573288,0.03592573719203622
2001-03,,,,2.8667501183592927,,0.595994481977471,0.3668059675462879,-1.2403098166817768,-0.04438460180095714,,1.063130953573288,0.5701139326733802
2001-04,3.422925383188368,,,0.7296470721003617,,0.8032890664871858,0.08703051659546333,-0.5500371351854487,-0.20367990414149975,,1.063130953573288,0.18631160144040762
2001-05,,,,0.7296470721003617,,0.8493545297115667,1.2366349051318848,0.1402355463108791,-0.2719493194303037,,1.063130953573288,0.12796849098186464
2001-06,,,,0.7296470721003617,,1.1718127722822342,0.43226882800854055,0.22651963149791995,-0.29470579119323836,,1.063130953573288,0.026510534466924397
2001-07,2.629629371633982,,,0.7296470721003617,,0.9184527245481384,0.10377676500412848,-0.03233262406320302,-0.38573167824497695,,1.063130953573288,0.06419084414184008
2001-08,,,,0.49430727133473684,,0.8723872613237575,2.3232056274106223,0.053951461123838036,-0.5450269805855196,,1.063130953573288,-0.2002265589740848
2001-09,,,,0.49430727133473684,,0.8263217980993762,0.5348309081459038,-0.3774689648113669,-0.7043222829260622,,1.063130953573288,0.025953545197343823
2001-10,2.100765363931058,,,0.7296470721003617,,0.895419992935948,0.062469311726864936,-1.3265939018688178,-0.909130528792474,,1.063130953573288,-0.2951627138536304
2001-11,,,,0.6466659862812681,,1.0336163826090912,1.2420004320718774,-1.0677416463076947,-0.9546434723183433,,1.063130953573288,-0.4301135612209731
2001-12,,,,0.4507762099214424,,0.941485456160329,0.8812502321520614,-1.4991620722428995,-1.0911823028959515,,1.063130953573288,-0.5498648555339959
2002-01,1.6600453575119551,,,0.6249004555746206,,0.8263217980993762,0.43556064979527925,-1.4991620722428995,-1.1594517181847555,,0.05972645806591425,-0.5337814638227166
2002-02,,,,2.779687995532704,,0.43476536069213734,,-2.1031506685521864,-1.2049646617106247,,0.05972645806591425,-0.719193691324887
2002-03,,,,-0.681031386824217,,0.7111581400384236,0.6148460785875446,-1.2403098166817768,-1.2049646617106247,,-0.456310139623592,-0.10459001594976658
2002-04,2.9822053767692647,,,0.7296470721003617,,0.5268962871408995,0.8260544486308072,-1.6717302426169816,-1.1594517181847555,,-0.456310139623592,-0.8741040112310634
2002-05,,,,0.7296470721003617,,0.5038635555287087,1.508756803634,-1.6717302426169816,-0.9455408836131695,,-0.456310139623592,-0.8608272259581188
2002-06,,,,0.7296470721003617,,0.7572236032628049,0.5020285992567071,-1.6717302426169816,-0.8476880550325505,,-0.456310139623592,-0.794413392242816
2002-07,2.8940613754854443,,,0.7296470721003617,,0.595994481977471,0.17099118906747166,-1.6717302426169816,-0.8181046417407355,,-0.456310139623592,-0.750541945786199
2002-08,,,,0.7296470721003617,,0.595994481977471,2.522147760958976,-1.6717302426169816,-0.7725916982148662,,-0.456310139623592,-0.9181456660100492
2002-09,,,,0.7296470721003617,,0.6420599452018523,0.6645814985215532,-1.6717302426169816,-0.6360528676372582,,-0.456310139623592,-0.6613441525557946
2002-10,3.5992133857560087,,,0.7296470721003617,,0.7111581400384236,0.47376098474550793,-1.6717302426169816,-0.5677834523484542,,-0.456310139623592,-0.7495108071525746
2002-11,,,,0.7296470721003617,,0.7802563348749953,1.6503596311505073,-1.6717302426169816,-0.47675756529671565,,-0.456310139623592,-0.3478729460836552
