month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零_去季节性,CPI,PPI,失业率差分,逆回购7天(19日),银行间7天回购(20-19均值)
2009-03,,-1.6974513916969443,,0.9614752305859103,,0.5395622465567249,-3.2411731449368477,-1.1824932559216301,,1.0947709791279685,-1.8427220945273723
2009-04,-0.4753675101315741,1.0036458129628216,,0.14831708436821692,,0.8406031053212765,-1.823382307246482,-1.5548538368151137,,1.0947709791279685,-1.8427220945273723
2009-05,,3.163629191252631,,-0.15285259941611434,,1.025581199785908,-1.823382307246482,-1.5548538368151137,,1.0947709791279685,-1.8427220945273723
2009-06,,2.9760700678650163,,0.3290188946388154,,0.9912624722313756,-1.823382307246482,-1.5548538368151137,,1.0947709791279685,-1.8427220945273723
2009-07,0.933957343434975,2.9381961138843224,,0.8711243254506108,,0.8568217965746333,-1.823382307246482,-1.5548538368151137,,1.0947709791279685,-1.8427220945273723
2009-08,,2.892039582687245,,0.9012412938290444,-0.01520974839936495,1.0830996308047496,-1.823382307246482,-1.5548538368151137,,1.0947709791279685,-1.8427220945273723
2009-09,,3.730352671793064,,1.352995819505541,0.4581417072376442,1.0060427787747521,-1.823382307246482,-1.5548538368151137,,1.0947709791279685,-1.8427220945273723
2009-10,2.8130571481903752,3.8049019861162896,,1.8348673135604703,0.8888488875920396,0.9505781336338006,-1.823382307246482,-1.5548538368151137,,1.0947709791279685,-1.8427220945273723
2009-11,,5.186859618780293,,2.1068235380177223,1.6712007619268594,1.218228174836849,-1.823382307246482,-1.5361648556092993,,1.0947709791279685,-1.8427220945273723
2009-12,,4.974709532413922,,2.1068235380177223,1.6712007619268594,1.030749851634924,-1.5015524851940678,-0.5699750506654492,,1.0947709791279685,-1.8427220945273723
2010-01,3.8309028757662174,6.679465936841316,,2.1068235380177223,,1.4746237007235004,-0.4735948226187891,0.3987775919572971,,1.0947709791279685,-2.149179774036729
2010-02,,5.899119517719363,,6.442763475460734,,1.5746937496823723,-0.7898894880265672,1.0702410638280895,,1.0947709791279685,-1.522687645068006
2010-03,,1.6688537471457225,,1.5035806613977063,0.9528153005159595,2.8676167155387278,0.15899450819676733,1.344464695469978,,1.0947709791279685,-1.8427220945273723
