month,GDP同比,制造业PMI一阶差分_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2015-05,,1.1041073228335252,0.06289142978719021,0.031795045248213166,-1.046244710558387,0.745341606817968,0.7550299757515273,-0.06342213262735247,-1.1569841615008567,,2.671615576394034,-0.3124902336753179
2015-06,,0.43158303794001035,-0.1351268470107782,0.08615850579636836,-0.98090629986518,0.774084888073821,0.7688138573918658,-0.326289289053288,-1.1643643868565257,,2.671615576394034,-0.7096993726698857
2015-07,1.1175530760564287,0.044922902160538625,0.01338686058769723,0.27643061771491223,-0.9401782008715917,0.8869628518754815,0.9710837780499804,-0.17506747179208684,-1.2085387792027755,,0.5451140680310486,0.4671069455813561
2015-08,,-0.01552100768885257,0.26090970658515866,0.05897677552229076,-1.6302954418610822,0.8600497152066514,0.9395390618914291,0.06711412686982407,-1.3274138873229255,,0.5451140680310486,-0.06750470666212197
2015-09,,-0.6166549423609231,0.16190056818617618,0.08615850579636836,-0.9080226915439794,0.9230404347516818,-0.05964683198787182,0.35812875459109855,-1.445818372376917,,0.16984909596699257,-0.10582219466416261
2015-10,1.0324061750235585,-0.2070705068937683,0.3599188449841446,-0.02256841529994227,-1.3691916385840663,0.947266059774959,0.23429876242792447,0.01828109781046052,-1.4458660764422593,,0.16984909596699257,-0.17844792130182222
2015-11,,0.5826704384974016,0.01338686058769723,-0.04975014557402011,-1.3893070820834572,0.9750277896069421,0.6457541727183522,-0.2917189048449183,-1.4409623980124624,,-0.08032755207571177,-0.23596942190566234
2015-12,,-0.6869998296419999,0.26090970658515866,0.11334023607044619,-1.2044323590836739,1.0085096492815362,0.5270947898352016,-0.0856189640179723,-1.4409623980124624,,-0.08032755207571177,-0.1898714924178675
2016-01,0.947259273990688,0.6679633855717646,0.706450829380592,0.031795045248213166,-1.8177981892880817,0.9922603950428792,0.7752799596851587,0.02243710028359801,-1.4409623980124624,,-0.08032755207571177,-0.09856730574973772
2016-02,,-0.8516268766188545,0.21140513738566918,0.02247823537947024,,,,0.21134630360802148,-1.3126106526964825,,-0.08032755207571177,-0.145491784294751
2016-03,,-0.5660599224516798,-0.03611770861179224,-0.23813666086345106,-0.43326373185740136,0.7897858863372379,-1.1753437732618615,0.6836193119190801,-1.2270428224858292,,-0.08032755207571177,-0.19863124737239363
2016-04,0.8621123729578168,1.2715447935146997,0.4094234141836376,0.27643061771491223,-0.06992376786034407,0.8572773892391184,0.8981331581289099,0.6849331754282018,-1.0986910771698493,,-0.08032755207571177,-0.05492480076124815
2016-05,,0.9399862642211654,0.1123959989866832,0.05897677552229076,-0.9121542383948221,0.7672887187032778,0.635147831766629,0.7099390866722556,-0.9061634591958793,,-0.08032755207571177,-0.006226507833055035
2016-06,,0.26746197932765065,-0.1351268470107782,0.05897677552229076,-0.8744737775597454,0.7447915510693177,0.665894756042749,0.43709185703469094,-0.7778117138798993,,-0.08032755207571177,-0.19396492549801642
2016-07,0.7769654719249465,-0.11919815645182101,-0.03611770861179224,0.11334023607044619,-0.7426489055637636,0.8797745568730785,0.8361824254369938,0.28644054556752957,-0.7350277987745728,,-0.08032755207571177,-0.08274473849828176
2016-08,,0.14860005092350706,0.16190056818617618,0.05897677552229076,0.4969645151326813,0.7897858863372379,0.7011665029787507,0.17839392672612556,-0.5425001808006028,,-0.08032755207571177,-0.029568427929805123
2016-09,,0.6963135265379311,0.21140513738566918,0.1405219663445238,0.522046920314062,0.8797745568730785,-0.1257798033061367,-0.22335927598392577,-0.3499725628266329,,-0.08032755207571177,-0.04705044678352651
2016-10,0.7769654719249465,-0.37119156550611626,0.01338686058769723,0.08615850579636836,0.20614237111062314,0.9022717245070385,0.23075728176930557,0.32490529300243215,-0.15744494485266303,,-0.08032755207571177,0.04158507645004385
2016-11,,1.8956389073962674,0.16190056818617618,0.08615850579636836,0.23191732958021394,0.7447915510693177,0.7185304300707368,0.4908818635892871,0.07786658822663352,,-0.08032755207571177,0.38821906250251037
2016-12,,0.4618475806444943,0.706450829380592,0.11334023607044619,0.22755096948689832,0.924768892140999,0.5053972370366511,0.638524795993507,0.5270976968325632,,-0.08032755207571177,0.7528131673678113
2017-01,0.8621123729578168,0.011479151122325901,0.45892798338313057,0.05897677552229076,0.20785536399124072,0.947266059774959,0.5885801280458919,0.47255578177478486,0.9977207629911564,,-0.08032755207571177,0.5012297417909787
2017-02,,-0.5233847593941352,0.607441690981606,-0.7735316684470237,,,,0.9188632200889019,1.297208168728443,,0.16984909596699257,0.46649204708743364
2017-03,,0.5827874878348263,0.45892798338313057,1.233929083820821,2.5253398387182586,0.632305712899517,-1.1181903744448298,-0.7331997130140961,1.4897357867024128,,0.42002574400969694,1.213926424402084
2017-04,1.0324061750235585,-0.36966579260888544,0.9539736753780534,0.49388445990753377,0.4351355195476054,0.947266059774959,0.8631170932502858,-0.6387451113518844,1.4469518715970862,,0.42002574400969694,1.4436267077059106
2017-05,,0.11938097115939034,0.16190056818617618,0.19488542689267924,0.015963829227136628,0.9022717245070385,0.5172866918451534,-0.35538130636524917,1.1902483809651263,,0.42002574400969694,1.9065815402056117
2017-06,,0.26746197932765065,0.607441690981606,0.19488542689267924,-0.20138643986913063,0.9022717245070385,0.5601207068547666,-0.07201750137861383,0.9977207629911564,,0.42002574400969694,1.3722929231089214
2017-07,1.0324061750235585,0.8655281952223253,0.7559553985800814,0.49388445990753377,0.12590105691950637,0.9697632274089192,0.9042708917828599,-0.07201750137861383,0.9977207629911564,,0.42002574400969694,1.4549811846418177
2017-08,,-0.1796420663012122,0.4094234141836376,0.16770369661860163,0.8935770894704896,0.8347802216051584,0.6776459643578545,-0.1664721030408257,0.9977207629911564,,0.42002574400969694,1.7114798272401481
