month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2002-09,,,,0.925201591616243,,-1.0673730492074194,0.614581392243445,-1.126960294542754,-0.6328130628150571,-1.3141062661128389,-1.0802757948951154
2002-10,1.463848821802235,,,1.186998099478747,,-0.9794428718397086,0.10929727921947895,-1.126960294542754,-0.5601385742424495,-1.3141062661128389,-1.3093036769044792
2002-11,,,,1.2821968296105664,,-0.8915126944719972,0.8459839100483253,-1.126960294542754,-0.4632392561456394,-1.3141062661128389,-1.0792263367246353
2002-12,,,,1.353595877209431,,-0.9794428718397086,0.7673172631428763,-1.126960294542754,-0.3178902790004243,-1.3141062661128389,-1.029092533636662
2003-01,1.1006109007594969,,,1.4487946073412508,,-0.9501328127171383,-0.1560046652766558,-1.126960294542754,-0.12409164280680415,-1.2406725430086336,-1.2806834380092758
2003-02,,,,1.4249949248082958,,-0.7156523397365749,,-1.7653480984422671,0.36040494767724623,-1.2406725430086336,-1.6516765909630724
2003-03,,,,2.61497905145604,,-1.1553032265751308,2.591281418456868,-1.9255457907633493,0.7480022200644866,-1.2406725430086336,-1.0064813350037602
2003-04,2.5535625849304497,,,1.924788258000348,,-0.9208227535945676,0.10648845281283281,-1.126960294542754,0.8933511972097016,-1.2406725430086336,-0.859763246286378
2003-05,,,,1.4487946073412508,,-1.389783699555694,0.8787819829203547,-1.126960294542754,0.6511029019676765,-1.2406725430086336,-1.3020920943374754
2003-06,,,,1.1631984169457918,,-1.536333995168546,0.4959684237218709,-1.126960294542754,0.26350562958043616,-1.2406725430086336,-1.3489179339261805
2003-07,1.1006109007594969,,,1.924788258000348,,-1.2139233448202715,0.18407607252140054,-1.126960294542754,0.09393182291101852,-1.2406725430086336,-1.444480099447178
2003-08,,,,1.8295895278685288,,-0.7742724579817155,2.3650197614164346,-1.126960294542754,0.11815665243522101,-1.2406725430086336,-1.4927682408606222
2003-09,,,,1.9723876230662583,,-0.7449623988591453,1.0119423775663816,-1.126960294542754,0.11815665243522101,-0.30997353638593245,-0.8783327037047342
2003-10,1.7544391586364259,,,1.7819901628026191,,-0.862202635349427,0.2631884107897447,-1.126960294542754,0.11815665243522101,-0.8000702043833999,-0.5484465594699033
2003-11,,,,1.9961873055992128,,-0.6570322214914344,1.1408470009588896,-0.6439642521946906,0.06970699338681599,0.8978643412320402,-0.0569207383703101
2003-12,,,,2.139699391272931,,-0.8035825171042863,1.2770189700108285,0.3172219017318035,0.23928080005623362,0.8978643412320402,-0.13237862229424022
2004-01,1.7544391586364259,,,2.139699391272931,,-0.4518618076334413,0.6896059572597503,0.477419594052886,0.5057539248224614,0.8978643412320402,-1.384785775788578
2004-02,,,,-0.3837809476962752,,-0.18807127553030764,,0.477419594052886,0.6268780724434739,0.8978643412320402,-1.715209598194763
2004-03,,,,3.424168257576506,,-0.9501328127171383,4.381918594505773,-0.40366771371306703,0.6268780724434739,0.8978643412320402,-0.660395887670522
2004-04,2.117677079679164,,,2.139699391272931,,-0.39324168938830073,0.7383012488647948,0.3172219017318035,0.7480022200644866,0.8978643412320402,-1.0255911226480023
2004-05,,,,2.139699391272931,,0.22226955218567748,1.642053412793545,0.9580126710161327,0.9902505153065116,0.8978643412320402,-1.381088634464622
2004-06,,,,2.0675863531980774,,1.570532271823916,0.22410072348810284,1.4386057479793801,1.1598243219759294,0.8978643412320402,-0.9813892546235641
2004-07,2.844152921764641,,,1.758190480269664,,0.42743996604367057,0.48012467197192843,1.919198824942627,1.3293981286453471,0.8978643412320402,-1.2066743589581639
2004-08,,,,1.59159270253898,,0.22226955218567748,2.721237203915955,2.1594953634242504,1.3293981286453471,0.8978643412320402,-1.3411666764773942
2004-09,,,,1.6867914326707996,,0.1929594930631072,1.491850115448685,2.1594953634242504,1.426297446742157,0.8978643412320402,-0.6152350124533119
2004-10,1.5364964060107837,,,1.7343907977367095,,0.45675002516624086,1.0062381961456093,2.0793965172637097,1.605706534198401,0.8978643412320402,-1.173365270985877
2004-11,,,,1.6391920676048894,,0.5153701434113814,1.7787874816515066,1.3585069018188387,1.605706534198401,0.8978643412320402,-1.1840153812801693
2004-12,,,,1.4249949248082958,,0.42743996604367057,1.8312582464519231,0.15702420941072098,1.605706534198401,0.8978643412320402,-1.1866425772611267
2005-01,0.8100205639253072,,,1.3297961946764763,,0.6033003207790928,0.6249090343776175,-0.16337117523144365,1.4989719353147646,0.8978643412320402,-1.719103548427813
2005-02,,2.946409425216026,,2.8767755593185433,,-0.27600145289801903,,-0.5638654060341495,1.1840491515001317,0.8978643412320402,-2.2059659365976683
2005-03,,3.0057936314635434,,-0.2885822175644558,,0.9843310893725081,2.0857431422612565,1.038111517176674,1.0823048674984812,0.8978643412320402,-1.3517545485156495
2005-04,2.5535625849304497,4.344656855585672,,1.4963939724071602,,0.42743996604367057,-0.411785368224345,0.0769253632501801,1.1355994924517268,0.8978643412320402,-1.1918694444708313
2005-05,,4.2275323697325975,,1.7105911152037543,,-0.07083103904002647,0.6349487607408162,-0.6439642521946906,1.1792041855952913,0.8978643412320402,-1.9856198884360978
2005-06,,1.6483387107045109,,1.853389210401484,,0.10502931569539632,0.06963354685442989,-0.6439642521946906,1.2082739810243344,0.8978643412320402,-2.294039296963674
2005-07,2.4809150007219025,0.7551669380423328,,1.9009885754673934,,0.13433937481796662,-0.2870894374427373,-0.8041619445157729,1.0387001743549167,0.8978643412320402,-2.647309004282739
2005-08,,0.16566750905564892,,1.7343907977367095,,0.07571925657282551,1.7926821749114714,-0.6439642521946906,1.0387001743549167,0.8978643412320402,-2.809610808781939
2005-09,,1.2056943176879524,,1.7105911152037543,,0.017099138327684928,0.8298153538746975,-1.0444584829973964,1.0629250038791191,0.8978643412320402,-1.9352004704434107
2005-10,2.3356198323048076,2.80623958610624,,1.8295895278685288,,0.07571925657282551,0.39813055189652286,-1.126960294542754,0.8691263676854992,0.8978643412320402,-2.3142467733701797
2005-11,,2.318765069742733,,1.7343907977367095,,0.10502931569539632,1.097133217919704,-1.1245573291579376,0.7480022200644866,0.8978643412320402,-2.4280871100664023
2005-12,,2.2526006231137816,,1.853389210401484,,-0.012210920794885364,1.4346792022979897,-1.0444584829973964,0.5542035838708664,0.8978643412320402,-2.37452871155559
2006-01,3.4253335954330226,2.55638067612421,,1.8295895278685288,,0.017099138327684928,1.1915971837844426,-0.8041619445157729,0.5542035838708664,0.8978643412320402,-2.210042671826241
2006-02,,1.0115907826675727,,0.9014019090832882,,0.8964009120047968,,-0.5638654060341495,0.5178663395845626,0.8978643412320402,-2.631203375507115
2006-03,,1.2198071921880504,,2.6863780990549047,,-0.8915126944719972,1.916883209287077,-1.3648538676395612,0.5081764077748816,0.8978643412320402,-1.6907280920542942
2006-04,3.4253335954330226,2.4098382130372187,,2.138985400796942,,0.31019972955338887,-0.21869308260495612,-1.126960294542754,0.3822072942490286,0.8978643412320402,-1.7470219620355323
2006-05,,5.269357792643301,,1.853389210401484,,0.3262487455265433,0.8132904319421354,-1.1245573291579376,0.2320133511989729,0.8978643412320402,-1.775200806985604
2006-06,,3.0622446417976095,,2.139699391272931,,0.5153701434113814,0.11881130258235037,-0.9643596368368554,0.36767239653450706,0.8978643412320402,-1.592445842255172
2006-07,4.297104605935594,2.541153377317826,,2.139699391272931,,0.42743996604367057,-0.07996404414489762,-0.8842607906763141,0.6317230383483144,0.8978643412320402,-1.8360195504861818
2006-08,,1.1330768303298728,,1.8771888929344382,,0.36881984779852944,1.7620722970588825,-1.126960294542754,0.646257936062836,0.8978643412320402,-1.683315315863134
2006-09,,1.577774825870347,,1.6391920676048894,,0.3981299069211003,0.36413047750156474,-1.0444584829973964,0.6026532429192715,0.8978643412320402,-0.30471685666548814
2006-10,3.2800384270159264,4.220145517199339,,1.7343907977367095,,0.42743996604367057,-0.023263995414065083,-0.8842607906763141,0.6268780724434739,0.8978643412320402,-1.1456327324731932
2006-11,,2.7652616795616076,,1.4011952422753406,,0.5590353901904133,0.46457334530152117,-0.9643596368368554,0.4815290952982588,0.8978643412320402,-1.0612273906949767
2006-12,,3.1455938427515253,,1.4487946073412508,,0.48606008428881115,1.0541409350591346,-0.5638654060341495,0.4524592998692158,0.8978643412320402,-0.33057921984845057
2007-01,3.49798117964157,2.928461184306604,,1.4011952422753406,,0.6326103799016631,0.8014468905426987,0.15702420941072098,0.529978754346664,0.8978643412320402,-0.7858690395286025
2007-02,,3.2440738317619404,,3.7835434638241248,,0.08988451504617277,,-0.3235688675525258,0.5784284133950689,0.8978643412320402,-2.406921911086506
2007-03,,1.9639682085528396,,0.9014019090832882,,1.2944300493863463,1.8079221687793596,0.0769253632501801,0.4088546067256513,0.8978643412320402,-0.8245059824454096
2007-04,4.297104605935594,3.0051670261290533,,2.0913860357310328,,0.8489294609481081,-0.458162618444785,0.5575184402134269,0.43307943624985384,0.8978643412320402,-1.4045032926826504
2007-05,,5.641438300825696,,2.0437866706651224,,0.8964009120047968,0.6795707008851953,0.3172219017318035,0.4815290952982588,0.8978643412320402,-0.9898600863237418
2007-06,,3.7319895565259187,,2.139699391272931,,1.0136411484950785,-0.07862930158293203,0.6376172863739681,0.4573042657740563,0.8978643412320402,-0.3480407996535743
2007-07,5.241523200646714,2.8388177838637403,,2.139699391272931,,1.037880567389444,-0.302849972878414,1.4386057479793801,0.3822072942490286,0.8978643412320402,-0.629214974840857
2007-08,,1.802821745058182,,2.139699391272931,,1.16019144410793,1.7851281412169433,2.3997919019058735,0.36040494767724623,0.8978643412320402,-0.9370256832630435
2007-09,,2.2475197405986562,,2.0675863531980774,,1.3653618579659235,0.7667366618277672,3.0053071393411015,0.4088546067256513,0.8978643412320402,-0.849232192440304
2007-10,4.732990111186879,3.5504006024710297,,2.139699391272931,,1.3391287688500397,0.11235003154098618,2.880384978869121,0.43307943624985384,0.8978643412320402,0.181996481955669
2007-11,,1.6490201550144237,,2.139699391272931,,1.6584624491916276,1.2736331490145476,3.0053071393411015,0.5542035838708664,0.8978643412320402,0.056148945791013004
2007-12,,3.2200099443880053,,2.019986988132168,,1.86363286304962,1.183162601584876,3.0053071393411015,0.8812387824476003,0.8978643412320402,0.9709069471343891
2008-01,4.515047358561238,3.300541692488999,,2.0437866706651224,,1.8761189482358351,0.7501257169514485,3.0053071393411015,1.0944172822605824,0.8978643412320402,-0.0996080203268474
2008-02,,1.681335697395882,,1.567793020006025,,2.5670742819913093,,3.601274594313992,1.2567236400727393,0.8978643412320402,-1.4491388979800282
2008-03,,2.1872165134622743,,1.567793020006025,,1.9515630404173314,1.8542852089310502,4.88285613288265,1.3826927535985925,0.8978643412320402,-0.15747547337850565
2008-04,2.844152921764641,4.7167373637680665,,2.138985400796942,,1.8761189482358351,-0.4317023729046486,3.0053071393411015,1.605706534198401,0.8978643412320402,0.05488569890711549
2008-05,,6.08793491064457,,1.6391920676048894,,1.8761189482358351,0.6529121686031977,3.0053071393411015,1.605706534198401,0.8978643412320402,-0.26173715777542295
2008-06,,1.9460031172504255,,1.7105911152037543,,1.8761189482358351,-0.1688390025251169,3.0053071393411015,1.605706534198401,0.8978643412320402,-0.0316135456582758
2008-07,2.4082674165133553,0.9784152429517674,,1.7105911152037543,,1.8761189482358351,-0.24489954777402875,3.0053071393411015,1.605706534198401,0.8978643412320402,0.14604860563555067
2008-08,,-1.843567235129284,,1.4011952422753406,,1.8761189482358351,1.9429938103667939,2.960483825029662,1.605706534198401,0.8978643412320402,-0.4940355593278292
2008-09,,-1.9197819510441592,,0.9490012741491982,,1.8761189482358351,0.808756802320076,1.839099978782086,1.605706534198401,0.8978643412320402,0.4990293155653291
2008-10,1.3185536533851403,-0.09598837771643653,,0.6158057186878299,,1.8761189482358351,0.3481774949973446,1.598803440300462,1.605706534198401,0.8978643412320402,-0.10301209104106013
2008-11,,-4.750764585722765,,-0.1457841223667266,,1.8761189482358351,0.9219972179388249,1.1182103633372151,1.3754253047413316,0.8978643412320402,0.19310076561462713
2008-12,,-9.133062927267497,,-0.8121752332894631,,1.8761189482358351,1.0570924085368891,-0.16337117523144365,0.26108314662801585,0.8978643412320402,-0.2991896859965812
2009-01,-0.42498836762000375,-7.192128638254525,,-0.7407761856905984,,1.8761189482358351,0.9482725471851782,-1.1245573291579376,-0.497154017479523,0.8978643412320402,-1.6615567174137562
2009-02,,-4.048704128612997,,-2.7946887882846045,,1.7757026856819087,,-1.28475502147902,-1.0325227499643987,0.8978643412320402,-3.1517714155539096
2009-03,,-1.0870919585427972,,0.5206069885560103,,-0.24669139377544874,1.9796578251844605,-3.3673250216530906,-1.303840840635467,0.8978643412320402,-2.6245249465704865
2009-04,-0.9335214570798368,0.25177126557933105,,-0.12198443983377139,,0.6619204390242334,-0.2647348982631448,-1.126960294542754,-1.6558089605033959,0.8978643412320402,-2.2623446260439737
2009-05,,1.8462171173652695,,-0.3599812651633204,,0.6912304981468043,1.1302535225299513,-1.126960294542754,-1.6558089605033959,0.8978643412320402,-2.5338621727021775
2009-06,,1.7971709139774708,,0.02081365536395782,,0.8084707346370854,0.56675981959834,-1.126960294542754,-1.6558089605033959,0.8978643412320402,-2.5910901755477496
2009-07,0.3741350586740202,1.8714084625895167,,0.44920794095714545,,0.7498506163919448,0.07533226779749157,-1.126960294542754,-1.6558089605033959,0.8978643412320402,-2.8342393717799452
2009-08,,1.802821745058182,,0.47300762349010067,-0.1340294751647996,0.8084707346370854,1.9827612213386734,-1.126960294542754,-1.6558089605033959,0.8978643412320402,-2.6732292366906343
