month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2002-03,,,,-1.58868782456185,,-0.12932418850597943,2.1519225241049535,-2.3891544805597906,-1.0433607195466459,,-0.9331552821433429,-1.3660663520282965
2002-04,2.1728754858677255,,,1.2071696655287816,,-0.32544072860716705,-0.11553559028634738,-2.1658730471128624,-0.9976873740226319,,-0.9331552821433429,-1.3842299772964917
2002-05,,,,1.2071696655287816,,-0.3499552961198159,1.36169049247212,-2.1658730471128624,-0.7830226500597667,,-0.9331552821433429,-1.3857049545772444
2002-06,,,,1.2071696655287816,,-0.08029505348068222,-0.02157337167550329,-2.1658730471128624,-0.6848249571831367,,-0.9331552821433429,-1.3853392336060208
2002-07,2.077744618824761,,,1.2071696655287816,,-0.2518970260692219,-0.4068195502897553,-2.1658730471128624,-0.6551372825925278,,-0.9331552821433429,-1.3870278608802256
2002-08,,,,1.2071696655287816,,-0.2518970260692219,2.4416855554353307,-2.1658730471128624,-0.6094639370685139,,-0.9331552821433429,-1.386581934283613
2002-09,,,,1.2071696655287816,,-0.20286789104392464,0.5349863511147249,-2.1658730471128624,-0.4724439004964721,,-0.9331552821433429,-1.2579207127877745
2002-10,2.8387915551684806,,,1.2071696655287816,,-0.12932418850597943,0.2956777180833051,-2.1658730471128624,-0.40393388221045134,,-0.9331552821433429,-0.9818436368966067
2002-11,,,,1.2071696655287816,,-0.05578048596803382,1.3989686143929951,-2.1658730471128624,-0.31258719116242356,,-0.9331552821433429,-1.0204648000915681
2002-12,,,,1.2071696655287816,,-0.12932418850597943,1.1362300911567527,-2.1658730471128624,-0.17556715459038186,,-0.9331552821433429,-0.9941591620233773
2003-01,2.363137219953655,,,1.2071696655287816,,-0.10480962099333105,-0.34205054970439586,-2.1658730471128624,0.0071262275056737205,,-0.7867289828102317,-0.9264032011527257
2003-02,,,,2.796260410058579,,0.091306919107857,,-1.926395033001391,0.46385968274581263,,-0.7867289828102317,-0.9650645366626565
2003-03,,,,4.608222490480244,,-0.2764115935818703,2.78306393168334,-2.157774756780591,0.8292464469379238,,-0.7867289828102317,-1.1636367562133072
2003-04,4.265754560812957,,,1.2071696655287816,,-0.08029505348068222,0.23237595998267968,-1.3479457235533914,0.9662664835099655,,-0.7867289828102317,-1.3566987361103657
2003-05,,,,1.2071696655287816,,-0.4725281336830581,1.407852684681963,-1.2322558616637913,0.737899755889896,,-0.7867289828102317,-1.3458669455510024
2003-06,,,,1.2071696655287816,,-1.3060234291131068,0.6860144346612205,-1.5793254473325913,0.37251299169778485,,-0.7867289828102317,-1.18384657810296
2003-07,2.363137219953655,,,1.2071696655287816,,-0.32544072860716705,0.4258110445557838,-2.0420848948909907,0.21265628236373624,,-0.7867289828102317,-1.0247669909161201
2003-08,,,,1.2071696655287816,,0.04227778408256021,3.1011087251908087,-1.810705171111791,0.23549295512574314,,-0.7867289828102317,-1.1698891312308062
