,macro_alpha_t,macro_alpha_lag1,macro_alpha_lag2,macro_alpha_lag3,macro_alpha_lag4,macro_alpha_lag5,macro_S_t,macro_S_lag1,real_alpha_t,real_alpha_lag1,real_alpha_lag2,real_alpha_lag3,real_alpha_lag4,real_alpha_lag5,real_S_t,real_S_lag1,nominal_alpha_t,nominal_alpha_lag1,nominal_alpha_lag2,nominal_alpha_lag3,nominal_alpha_lag4,nominal_alpha_lag5,nominal_S_t,nominal_S_lag1
2017-04,-0.7249971500103649,-0.7500295723872686,-1.1005464127867501,-1.9992142950732237,-2.98785705880438,-3.1547964564531386,-0.7249971500103649,-3.8497902802472415,17.64966120761405,17.632482147895082,18.536853443240762,20.161338378411884,21.615722429798076,22.137328530039802,17.64966120761405,56.33067396954764,-1.0567602855828262,-1.6661173953612043,-1.7511222327263336,1.8231293232418535,1.0869495488853576,1.4428068381002646,-1.0567602855828262,-1.5941103048456873
2017-05,-0.7520476337879398,-0.7249971500103705,-0.7500295723872664,-1.100546412786751,-1.9992142950732237,-2.987857058804379,-1.4770447837983005,-0.7249971500103705,17.994337676683948,17.649661207614084,17.63248214789506,18.536853443240748,20.16133837841182,21.61572242979809,35.64399888429625,17.649661207614084,-0.4245224083702692,-1.0567602855828258,-1.6661173953612045,-1.7511222327263336,1.8231293232418535,1.0869495488853576,-1.4812826939530943,-1.0567602855828258
2017-06,-0.7128147338206685,-0.7520476337879485,-0.7249971500103721,-0.7500295723872669,-1.1005464127867508,-1.9992142950732232,-2.1898595176189906,-1.4770447837983185,17.923235938384448,17.994337676684268,17.649661207614333,17.63248214789508,18.536853443240645,20.161338378411784,53.567234822683275,35.643998884298554,-0.4396837388582072,-0.42452240837026745,-1.0567602855828258,-1.666117395361204,-1.7511222327263336,1.8231293232418533,-1.9209664328112992,-1.4812826939530925
2017-07,-0.7597785840042361,-0.7128147338206653,-0.7520476337879358,-0.7249971500103671,-0.7500295723872661,-1.1005464127867528,-0.7597785840042361,-2.189859517618967,17.210641633726432,17.923235938383705,17.994337676683557,17.64966120761412,17.6324821478951,18.53685344324071,17.210641633726432,53.56723482268155,-0.6130593480748956,-0.43968373885820833,-0.4245224083702683,-1.056760285582826,-1.6661173953612043,-1.7511222327263334,-0.6130593480748956,-1.9209664328113032
2017-08,-0.7712328458928374,-0.7597785840042419,-0.7128147338206625,-0.7520476337879373,-0.7249971500103682,-0.7500295723872665,-1.531011429897088,-0.7597785840042419,16.185603381879808,17.210641633726766,17.923235938383833,17.994337676683603,17.649661207614123,17.63248214789511,33.39624501560669,17.210641633726766,0.17547705400212144,-0.613059348074895,-0.4396837388582082,-0.42452240837026817,-1.0567602855828258,-1.6661173953612043,-0.43758229407277627,-0.613059348074895
2017-09,-0.761489375584072,-0.7712328458928355,-0.7597785840042418,-0.71281473382066,-0.7520476337879384,-0.7249971500103695,-2.292500805481152,-1.5310114298970818,15.24970665453904,16.185603381878842,17.210641633726635,17.923235938383687,17.99433767668362,17.649661207614184,48.64595167014458,33.39624501560557,-0.20392078093653082,0.17547705400212152,-0.6130593480748953,-0.4396837388582082,-0.42452240837026795,-1.0567602855828255,-0.6415030750093036,-0.4375822940727738
2017-10,-0.7110919519180006,-0.7614893755840655,-0.7712328458928375,-0.7597785840042464,-0.7128147338206613,-0.75204763378794,-0.7110919519180006,-2.2925008054811515,14.51937778603941,15.249706654539276,16.18560338187906,17.21064163372668,17.923235938383694,17.9943376766837,14.51937778603941,48.64595167014519,0.3927697864621064,-0.2039207809365303,0.17547705400212274,-0.6130593480748951,-0.4396837388582082,-0.42452240837026767,0.3927697864621064,-0.6415030750093015
2017-11,-0.2938152179570067,-0.7110919519180035,-0.7614893755840724,-0.7712328458928395,-0.7597785840042484,-0.7128147338206623,-1.0049071698750183,-0.7110919519180035,13.915005737714313,14.519377786039394,15.249706654539366,16.185603381879194,17.21064163372674,17.923235938383698,28.43438352375526,14.519377786039394,-0.06921653711604309,0.3927697864621065,-0.20392078093652996,0.17547705400212302,-0.6130593480748949,-0.4396837388582081,0.32355324934606505,0.3927697864621065
2017-12,-0.23385138889488513,-0.29381521795700966,-0.7110919519180038,-0.7614893755840694,-0.7712328458928347,-0.7597785840042472,-1.2387585587699022,-1.0049071698750143,13.39742877891504,13.915005737714713,14.519377786039737,15.249706654539212,16.185603381879062,17.210641633726702,41.831812302669505,28.434383523754537,0.11111789932629226,-0.06921653711604227,0.39276978646210664,-0.2039207809365304,0.17547705400212274,-0.6130593480748951,0.434671148672357,0.32355324934606455
2018-01,-0.21718000803515572,-0.23385138889488866,-0.29381521795700943,-0.7110919519180066,-0.7614893755840693,-0.7712328458928341,-0.21718000803515572,-1.2387585587699015,12.984965320963514,13.397428778915225,13.915005737714802,14.519377786039815,15.249706654539198,16.185603381879044,12.984965320963514,41.83181230266961,-0.4241202817452922,0.11111789932629197,-0.06921653711604234,0.39276978646210664,-0.20392078093653035,0.17547705400212266,-0.4241202817452922,0.434671148672357
