month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,社零,固投累计同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
2006-01,1.0155308818973656,0.6637993221556068,,0.7171777470945228,-0.9838207245015369,0.7269968834865265,-0.5994670123340794,0.3083311764542976,0.041754090735177864,-1.103180403834745
2006-02,,-0.007108559651538648,,-0.13142027182790508,-0.02559757704154218,,-0.4638026248185877,0.27375365949763025,0.041754090735177864,-0.9138162678808569
2006-03,,0.003325215223479415,,1.5004989953306103,-1.9739846435435313,0.6796368096009381,-0.9160172498702268,0.26453298830918565,0.041754090735177864,-1.197272638921835
2006-04,1.0155308818973656,0.1592772562374084,,1.0000437534019988,-0.6644130086815386,0.9949008799630146,-0.9612387123753906,0.14466426285940592,0.041754090735177864,-1.0261846038135596
2006-05,,1.684713300533171,,0.7389366706566366,-0.646923519794099,1.1120287236419835,-0.7803528623547351,0.001743859438514595,0.041754090735177864,-0.8511186064695146
2006-06,,1.4082331478925696,,1.021802676964112,-0.44082760760754014,1.2031742730365151,-0.6899099373444073,0.130833256076739,0.041754090735177864,-0.8489415438842425
2006-07,1.53631594953704,0.8372820975498069,,1.3484041196314362,-0.5366499223535393,1.4391821468973278,-0.6446884748392433,0.38209654596185433,0.041754090735177864,-0.593843421705956
2006-08,,0.2635764806709751,,0.7606955942187497,-0.6005314655175392,1.373229660504122,-0.8707957873650629,0.39592755274452124,0.041754090735177864,-0.1344623047553424
2006-09,,0.1731782156528442,,0.5431063585976144,-0.568590693935539,1.0471307398753518,-0.7351313998495711,0.3544345323965205,0.041754090735177864,-0.4938224029592202
2006-10,0.9287333706240861,1.1301437797908012,,0.630142052846069,-0.5366499223535393,0.8149735204720241,-0.6446884748392433,0.377486210367632,0.041754090735177864,-0.41229676474502697
2006-11,,1.144791372138641,,0.325517122976479,-0.3932432043278241,0.5046143584565828,-0.6899099373444073,0.239176142540963,0.041754090735177864,0.05848138081610607
2006-12,,1.0810509044751229,,0.36903497010070635,-0.47276837918953984,0.45523898167771537,-0.4638026248185877,0.21151412897562918,0.041754090735177864,-0.07239984071599734
2007-01,1.0589296375340052,0.8402792230858867,,0.325517122976479,-0.3130645212795407,0.047079641843867544,-0.05680946227211251,0.28527949848318607,0.041754090735177864,-0.9393585259766627
2007-02,,1.0517708459301405,,2.503585371544044,-0.9045025258396725,,-0.3281382373030958,0.331382854425409,0.041754090735177864,-0.2811017767172362
2007-03,,0.3562850170840391,,-0.13142027182790508,0.408156504003436,-0.07061669841854859,-0.10203092477727627,0.17002110862762854,0.041754090735177864,-0.9470867764396356
2007-04,1.53631594953704,0.44164509772585764,,0.9565259062777719,-0.07732980891889658,-0.06014311568938766,0.16929785025370706,0.19307278659874005,0.041754090735177864,-0.45254829396688695
2007-05,,1.8611932014634507,,0.9130080591535442,-0.02559757704154218,0.15076641649201664,0.033633462738215394,0.239176142540963,0.041754090735177864,0.05783199014665572
2007-06,,1.7258969695670754,,1.0653205240883397,0.10216550928645723,0.17157569950972226,0.214519312758871,0.2161244645698515,0.041754090735177864,0.032544549051116714
2007-07,2.1004997728133548,0.9784660182940302,,1.348186530395815,0.1285805273847708,0.3606927291193155,0.6667339378105104,0.14466426285940592,0.041754090735177864,-0.04873119250592641
2007-08,,0.5812403023454783,,1.0435616005262258,0.26186936719645576,0.4588581976053738,1.209391487872477,0.1239177526854055,0.041754090735177864,-0.5321925632927388
2007-09,,0.4908420373273474,,0.9347669827156581,0.4854547682704555,0.48444060886073753,1.6163846504189525,0.17002110862762854,0.041754090735177864,0.47591761353677436
2007-10,1.7967084833568774,0.812479958116298,,1.2393919125852473,0.456867138889133,0.392955922211063,1.4807202629034608,0.19307278659874005,0.041754090735177864,0.403868272299823
2007-11,,0.6153516693478015,,1.021802676964112,0.8048624840904537,0.5280597805821913,1.6163846504189525,0.3083311764542976,0.041754090735177864,1.0091257349192921
2007-12,,1.1163468846611793,,0.8912491355914312,1.0284478851644523,0.502129825928934,1.7972705004396083,0.6195288290643027,0.041754090735177864,0.42886569701741234
2008-01,1.666512216446959,1.0167591240161664,,0.9130080591535442,1.4756186873124493,0.3987609737280016,1.6163846504189525,0.8223835952100839,0.041754090735177864,-0.23976521721611158
2008-02,,0.3105552620229646,,0.477829587911274,1.7950264031324474,,1.887713425449936,0.9768298376165311,0.041754090735177864,0.2061172222591761
2008-03,,0.462172957642206,,0.477829587911274,1.1242701999104519,0.14039210071193237,2.6112568255325583,1.0966985630663106,0.041754090735177864,0.118894515172084
2008-04,0.6683408368042488,1.253452642005144,,1.0000437534019988,1.8908487178784472,0.08052941706426547,2.4303709755119036,1.4032858800820938,0.041754090735177864,0.07929443220068527
2008-05,,1.863310960274614,,0.5431063585976144,2.0505525757884464,0.19765726074323434,2.431275404762007,1.4424737326329833,0.041754090735177864,0.28895990385499276
2008-06,,0.8787934451017302,,0.6083831292839551,1.9227894894604476,0.10123943313289611,2.1590422004809193,1.4655254106040951,0.041754090735177864,0.5988202148388397
2008-07,0.40794830298441165,0.09606651364263102,,0.6083831292839551,2.369960291608445,0.38413815124492556,1.887713425449936,1.6084458140249862,0.041754090735177864,0.27484202012279846
2008-08,,-1.1482627267712635,,0.325517122976479,2.4341612424882646,0.6229761524846362,1.5259417254086245,1.8827607818812129,0.041754090735177864,0.4526178964384891
2008-09,,-1.4857328530917873,,-0.0879024247036778,2.433841834772444,0.6485585637399999,0.89284125033633,1.8828299369151265,0.041754090735177864,0.2677388424796411
2008-10,-0.24303303156518175,-0.9170230710004439,,-0.3925273545732673,2.433841834772444,0.6743009877183709,0.7571768628208378,1.6752956801412098,0.041754090735177864,0.503901970392284
2008-11,,-2.420102626653012,,-1.0888129085609006,2.0505525757884464,0.5983960469590183,0.48584808778985455,1.0897830596749774,0.041754090735177864,0.08140923352113137
2008-12,,-3.9041533370034203,,-1.6334387653206022,1.6672633168044486,0.502129825928934,-0.23769531229276813,0.02940587300384837,0.041754090735177864,-0.7120282655567414
2009-01,-1.2846031668445315,-3.9599740822177227,,-1.6327859976137387,1.0923294283284517,0.5863243507328733,-0.7803528623547351,-0.6921116474919417,0.041754090735177864,-1.4834188425914843
2009-02,,-2.407235212303346,,-3.5105811010241372,0.9326255704184525,,-0.8707957873650629,-1.2015537306535058,0.041754090735177864,-1.5958893702658457
2009-03,,-1.0908501705442561,,-0.47956304882172157,-1.2712876687395354,0.6561913874753288,-2.0465538124993246,-1.4597325239299546,0.041754090735177864,-1.5736796984119246
2009-04,-1.588394456301008,-0.8643061691582141,,-1.0670539849987868,-0.281123749697541,0.7135558144557075,-1.865667962478669,-1.8124231968879603,0.041754090735177864,-1.5803335162577317
2009-05,,0.061098211974595876,,-1.2846432206199223,-0.24918297811554072,1.3230375227724636,-2.0013323499941604,-1.9507332647146294,0.041754090735177864,-1.580335763529828
2009-06,,0.8082014847296197,,-0.9365004436261056,-0.12141989178754188,1.812755248302348,-1.9561108874889968,-2.0890433325412987,0.041754090735177864,-1.5780711046437776
2009-07,-0.8072168548414963,0.5196182758753036,,-0.5448398195080623,-0.1853014349515413,1.9087939520732733,-2.0917752750044887,-2.2273534003679676,0.041754090735177864,-1.3169061047803434
2009-08,,0.5812403023454783,,-0.5230808959459484,-0.12141989178754188,1.9359197915187363,-2.0922274896295403,-2.2419681642016522,0.041754090735177864,-0.9583633512657731
2009-09,,0.4908420373273474,,-0.19669704251424547,-0.05753834862354189,1.9615022027740991,-1.865667962478669,-2.2411844071506346,0.041754090735177864,-1.1163886864441899
2009-10,0.23435328043785325,0.17715231476728907,,0.151445734479571,-0.018522376728413673,2.0106900488780792,-1.6847821124580136,-2.0406348088019644,0.041754090735177864,-0.9462038587160974
2009-11,,1.321271273068921,,0.630142052846069,0.2027479572213219,1.981675952369947,-1.5491177249425216,-1.777845679931293,0.041754090735177864,-1.1563172708380103
2009-12,,1.045754924289069,,1.304668683271588,0.0743144340978165,1.744737198586207,-1.0516816373857185,-0.9087974204203897,0.041754090735177864,-1.130956592327616
2010-01,0.7985371037141679,1.4756068664348956,,1.1523562183367935,0.6251637031701227,1.4772503915060122,-0.4638026248185877,-0.037443993112374986,0.041754090735177864,-1.1459107451457209
2010-02,,1.2988427072325306,,3.480561039482941,-0.5047091507715395,,-0.6446884748392433,0.5665099697307464,0.041754090735177864,-0.6979702775397969
