month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
2015-02,,-0.6097630507890673,-0.424891060893239,-0.09583788280124955,,,,-0.8976466875307074,-1.00603669215368,0.7251277635560993,1.3349432312971852
2015-03,,-0.5175032539114739,-0.13584029126608826,-1.4381184129796085,-2.1951504281116736,-0.9889292850616295,-1.969298821469181,-0.5750524495497279,-1.1009465330063992,0.4111788682207307,1.713897342388319
2015-04,-0.7466098101619888,-1.17227342556603,-1.0029926001475336,-0.9906915695868223,-1.520074031041847,-1.112357202467798,0.9073961156941129,-0.6017862444850617,-1.05376994055908,-0.05974447478232162,0.49605109013474313
2015-05,,-0.5856437729263857,-0.9066423436051501,-0.9235775430779041,-0.9585877433843554,-1.1759772367071055,-0.9639681497876459,-0.5373447460243024,-1.056195370090716,-0.05974447478232162,-0.6676279163847522
2015-06,,-0.09338630071141454,-1.2920433697746776,-0.8788348587386257,-0.9111058456484842,-1.1424010841067966,0.07372780548395685,-0.6718838984746346,-1.0630541667170648,-0.05974447478232162,-0.8779894751901586
2015-07,-0.7466098101619888,-0.2765520452630164,-1.0029926001475336,-0.7222354635511504,-0.8815084402192295,-1.010543913588211,0.3409370176918494,-0.5944864198282164,-1.104107543625499,-1.3940272799576374,-0.2547540376924127
2015-08,,-0.3317485327643578,-0.5212413174356226,-0.9012062009082649,-1.3830216529645678,-1.041982202616594,-1.7906939699649833,-0.4705344302907923,-1.2145838707345393,-1.3940272799576374,-0.537883828729295
2015-09,,-0.6574761683267899,-0.713941830520383,-0.8788348587386257,-0.8581407979803086,-0.9684002760083882,-0.5998473539385958,-0.3215890013653617,-1.324622825305088,-1.6294889514591635,-0.5581767316721121
2015-10,-0.8084408503410352,-0.8689311313789535,-0.3285408043508554,-0.9683202274171828,-1.1932756221977792,-0.9401013745928172,-0.47946559702656144,-0.4955278696787987,-1.3290561923998003,-1.6294889514591635,-0.5966392431428825
2015-11,,-0.40682721663826843,-1.0029926001475336,-0.9906915695868223,-1.2078936611279651,-0.9076718106543786,-1.1979094091839295,-0.6541902837434733,-1.32010993593065,-1.786463399126848,-0.6271025717623567
2015-12,,-0.5099586912089972,-0.5212413174356226,-0.8564635165689862,-1.0735438568047344,-0.8685603390109882,-0.8126682464374333,-0.5487054002915781,-1.32010993593065,-1.786463399126848,-0.6026891548674175
2016-01,-0.8702718905200817,-0.624336729991349,0.3459109914458228,-0.9235775430779041,-1.5192812617317166,-0.8875417293088429,0.15438878255930097,-0.4934007684542874,-1.32010993593065,-1.786463399126848,-0.554334549830925
2016-02,,-0.7762437572881816,-0.6175915739779994,-0.9312455443199698,,,,-0.39671434915832476,-1.2008265163419793,-1.786463399126848,-0.5791857062717007
2016-03,,-0.8920848435344848,-1.0993428566899104,-1.1457390647679895,-0.5131300128408657,-1.1240601330867277,-2.0896729179940188,-0.15499830091841812,-1.121304236616199,-1.786463399126848,-0.6073283122434332
2016-04,-0.9321029306991286,-1.1306532489412509,-0.23219054780847184,-0.7222354635511504,-0.24908822133066824,-1.045220665160766,0.6519608187788661,-0.15432584687221454,-1.0020208170275282,-1.786463399126848,-0.5312215232706853
2016-05,,-0.5856437729263857,-0.8102920870627665,-0.9012062009082649,-0.8611432230926028,-1.1503399557287148,-1.1925502460395754,-0.141527465550008,-0.8230956876445222,-1.786463399126848,-0.5054309565242412
2016-06,,-0.13500647733619386,-1.2920433697746776,-0.9012062009082649,-0.8337605584543026,-1.176619778370702,-0.12251045943821066,-0.2811745615317458,-0.7038122680558517,-1.786463399126848,-0.6048570328920405
2016-07,-0.993933970878175,-0.35979239851257505,-1.0993428566899104,-0.8564635165689862,-0.737962466263972,-1.018940842518779,0.0837174440130402,-0.3582800471918902,-0.6640511281929615,-1.786463399126848,-0.5459549341963382
2016-08,,-0.3733687093891401,-0.713941830520383,-0.9012062009082649,0.16287361237730913,-1.1240601330867277,-2.2452045200270545,-0.413579844708216,-0.48512599880995555,-1.786463399126848,-0.5177928138306783
2016-09,,-0.3661349319533435,-0.6175915739779994,-0.834092174399347,0.18110117844689255,-1.018940842518779,-0.7259446417648961,-0.6192028526249398,-0.30620086942694963,-1.786463399126848,-0.5270512733576748
2016-10,-0.993933970878175,-0.6192100716302805,-1.0029926001475336,-0.8788348587386257,-0.04846895251335841,-0.9926610198767918,-0.4862182212779658,-0.33859324192694273,-0.12727574004394374,-1.786463399126848,-0.48010998978060765
2016-11,,0.17585525610863317,-0.713941830520383,-0.8788348587386257,-0.029738102937816518,-1.176619778370702,-1.0591452120314866,-0.2536440705014135,0.09141052920195242,-1.786463399126848,-0.29653298088926494
2016-12,,0.3640650179113567,0.3459109914458228,-0.8564635165689862,-0.032911168539339564,-0.9663811972348042,-0.8540394793614493,-0.17807831606855737,0.5089024977622996,-1.786463399126848,-0.10344431121549034
2017-01,-0.9321029306991286,0.08320627262988758,-0.13584029126608826,-0.9012062009082649,-0.04722410814207934,-0.9401013745928172,-0.20159616621974233,-0.26302362003731483,0.9462750362540918,-1.786463399126848,-0.23668263928595867
2017-02,,0.014539598582613613,0.15321047836105564,-1.586384483208893,,,,-0.03459712012963808,1.2246030152943235,-1.6294889514591635,-0.25507968731370806
2017-03,,0.19003974870976564,-0.13584029126608826,0.0658131851615519,1.6369086962222283,-1.3080188915806379,-1.9806971917076648,-0.8801464456381382,1.4035281446773291,-1.472514503791479,0.1407608039565807
2017-04,-0.8084408503410352,-0.4647304229447965,0.8276622741577339,-0.5432647261940359,0.1179420320965015,-0.9401013745928172,0.5851948664327211,-0.8318032359901569,1.363767004814439,-1.472514503791479,0.26240984198260975
2017-05,,-0.12782183005381906,-0.713941830520383,-0.7893494900600683,-0.18667308055174725,-0.9926610198767918,-1.4172788464330304,-0.6867736070462128,1.1252001656370978,-1.472514503791479,0.5075902536610651
2017-06,,0.32281546553637275,0.15321047836105564,-0.7893494900600683,-0.34462310015891245,-0.9926610198767918,-0.3241923203789815,-0.5417439781022688,0.9462750362540918,-1.472514503791479,0.22463154171163593
2017-07,-0.8084408503410352,0.34775060410866454,0.44226124798819955,-0.5432647261940359,-0.10678089849111135,-0.91382155195083,0.2135433200824373,-0.5417439781022688,0.9462750362540918,-1.472514503791479,0.2684231614991331
