month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2012-04,,53.002179464817615,55.0,9.3,3.74,14.078876,7.8998708722003546,3.4,-0.7,,3.7561,3.582383870967742
2012-05,,50.38142894973621,54.3,9.6,5.21,13.793596,-13.150581518315015,3.0,-1.4,,3.3,3.5283666666666673
2012-06,7.7,50.025046393462,56.4,9.5,4.253966,13.7,-17.589137704441892,2.2,-2.08,,3.3,2.5445387096774197
2012-07,,49.893727595928056,54.4,9.2,4.514594,13.1,36.811982024597036,1.8,-2.87,,3.35,3.7784199999999997
2012-08,,49.06538857037026,55.1,8.9,3.58,13.2,-5.144989378011111,2.0,-3.48,,3.35,3.416451612903226
2012-09,7.5,49.469334943854264,52.6,9.2,2.92,14.2,-6.49027673857352,1.9,-3.55,,3.35,3.4070451612903225
2012-10,,50.09642512021278,54.4,9.6,6.05,14.5,17.28081174671955,1.7,-2.76,,3.35,3.4209766666666668
2012-11,,50.127391721720684,54.2,10.1,7.58,14.9,13.8557142819345,2.0,-2.2,,3.35,3.2396838709677414
2012-12,8.1,50.509911099995534,54.7,10.3,,15.2,-1.5607250885893755,2.5,-1.94,,3.35,3.0586100000000003
2013-01,,50.4,54.9,17.7,,,,2.0305,-1.64,,3.35,3.473622580645161
2013-02,,50.10640139233973,53.6,2.2,-12.49,12.2999,,3.2198,-1.63,,3.35,3.2132096774193544
2013-03,7.9,49.89053092139246,53.9,8.9,1.94,12.60029,9.848768681468329,2.0696,-1.92,,3.35,3.318171428571428
2013-04,,50.50017946481761,52.5,9.3,6.78,12.8,13.208768324236042,2.3861,-2.62,,3.35,3.1368999999999994
2013-05,,50.78142894973621,52.3,9.2,5.022142,12.892196,9.684850532513416,2.0981,-2.87,,3.35,3.28407
2013-06,7.6,49.925046393462,52.6,8.9,6.295814,13.31247,10.953539756114218,2.6684,-2.7,,3.35,5.376338709677419
2013-07,,50.09372759592805,53.0,9.7,8.832639,13.212343,12.867783573473446,2.6741,-2.27,,3.35,5.376390555913978
2013-08,,50.86538857037026,52.5,10.4,13.67,13.370123,-2.9213129158753404,2.5666,-1.62,,3.9,4.124535483870968
2013-09,7.9,50.76933494385427,53.9,10.2,10.4,13.3,9.017515489216976,3.0519,-1.34,,3.9,3.8194129032258064
2013-10,,51.296425120212774,54.8,10.3,9.53,13.320159,3.821755507405898,3.2058,-1.51,,3.9,4.050676666666667
2013-11,,50.92739172172068,54.1,10.0,8.45,13.721251,5.137051212822922,3.018,-1.42,,4.1,4.50561935483871
2013-12,7.7,50.90991109999553,52.5,9.7,,13.6,13.884849410518523,2.4987,-1.36,,4.1,4.765443333333334
2014-01,,50.5,51.5,8.5,,,,2.4861,-1.64,,4.1,5.225654838709678
