month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2007-10,,52.95657452934135,,17.9,,18.1,13.827558402879816,6.5,3.2,3.7561,3.7237007808943927
2007-11,,55.06766306371236,,17.3,,18.8,12.199981168892764,6.9,4.55,3.7561,4.4829943816169395
2007-12,13.9,55.17588124006133,,17.4,,20.2,4.409589766056067,6.5,5.43,3.7561,3.594414928824697
2008-01,,53.0,,15.4,,21.2,,7.1,6.1,3.7561,2.474238709677419
2008-02,,53.67980021116614,,15.4,,19.1,24.27356652858985,8.7,6.62,3.7561,3.54638213028376
2008-03,11.6,57.078958181926886,,17.8,,21.5,-16.85165544782368,8.3,7.95,3.7561,3.7226522245836877
2008-04,,58.921566860321214,,15.7,,22.0,2.660705044763663,8.5,8.12,3.7561,3.459839864846481
2008-05,,53.35565880775029,,16.0,,21.6,-12.122708299455745,7.7,8.22,3.7561,3.6508536475071454
2008-06,11.0,52.05541886905355,,16.0,,23.0,-13.491047669215874,7.1,8.84,3.7561,3.798321867921614
2008-07,,48.26325236741876,,14.7,,23.3,25.86944611877231,6.3,10.03,3.7561,3.2670209012541536
2008-08,,48.160835398189185,,12.8,,23.2,5.464370824213258,4.9,10.06,3.7561,4.091313012939843
2008-09,9.5,50.61164044336196,,11.4,,23.2,-2.821512442125279,4.6,9.13,3.7561,3.5915893846852494
2008-10,,44.35657452934135,,8.2,,22.0,7.501581028689817,4.0,6.59,3.7561,3.83737744756106
2008-11,,38.46766306371236,,5.4,,20.8,9.931961554567321,2.4,1.99,3.7561,3.4287524461330685
2008-12,7.1,41.075881240061335,,5.7,,19.0,7.974277711885227,1.2,-1.14,3.7561,2.2979215954913643
2009-01,,45.3,,-2.93,,18.5,,1.0,-3.35,3.7561,1.0609709677419354
2009-02,,49.27980021116614,,11.0,,11.6,26.529036643193386,-1.6,-4.47,3.7561,1.4986111625418248
2009-03,6.4,51.078958181926886,,8.3,,14.7,-13.84788827426842,-1.2,-6.0,3.7561,1.79923843148024
2009-04,,53.22156686032121,,7.3,,14.8,11.248139768707162,-1.5,-6.6,3.7561,1.573865671298094
