month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
2002-04,,,,12.1,,8.2,6.2722126142302415,-1.3,-3.06,1.97,1.9519709677419355
2002-05,,,,12.9,,9.3,-6.378882128339345,-1.1,-2.63,1.97,1.9508300000000003
2002-06,8.9,,,12.4,,8.6,-14.61419301685067,-0.8,-2.5,1.97,1.9511129032258065
2002-07,,,,12.8,,8.6,14.846727469811809,-0.9,-2.3,1.97,1.9498066666666667
2002-08,,,,12.7,,8.8,10.723949743355341,-0.7,-1.7,1.97,1.950151612903226
2002-09,9.7,,,13.8,,9.1,0.5358494638350173,-0.7,-1.4,1.97,2.049677419354839
2002-10,,,,14.2,,9.4,7.664861137636583,-0.8,-1.0,1.97,2.2632366666666663
2002-11,,,,14.5,,9.1,7.159079510811971,-0.7,-0.4,1.97,2.2333612903225806
2002-12,9.2,,,14.9,,9.2,-14.594822976888256,-0.4,0.4,1.97,2.2537100000000003
2003-01,,,,14.8,,10.0,,0.4,2.4,2.3,2.3061225806451615
2003-02,,,,19.8,,8.5,37.53222679138346,0.2,4.0,2.3,2.2762161290322585
2003-03,11.2,,,16.9,,9.3,8.953331110864646,0.9,4.6,2.3,2.1226107142857145
2003-04,,,,14.9,,7.7,7.223905021221256,1.0,3.6,2.3,1.9732677419354843
2003-05,,,,13.7,,4.3,8.208942026738413,0.7,2.0,2.3,1.9816466666666668
2003-06,9.2,,,16.9,,8.3,2.5515475385545585,0.3,1.3,2.3,2.106977419354839
2003-07,,,,16.5,,9.8,28.441576275896516,0.5,1.4,2.3,2.2300333333333335
2003-08,,,,17.1,,9.9,17.872526951744874,0.9,1.4,2.3,2.117774193548387
2003-09,10.1,,,16.3,,9.5,3.304371478703736,1.1,1.4,2.9337,2.6812258064516126
2003-10,,,,17.2,,10.2,12.96948753311799,1.8,1.2,2.6,3.111800000000001
2003-11,,,,17.9,,9.7,16.328681307103782,3.0,1.9,3.7561,2.9776774193548383
2003-12,10.1,,,18.1,,10.9,0.6178250854853324,3.2,3.0,3.7561,2.1673
2004-01,,,,7.2,,11.8,,3.2,3.5,3.7561,2.2533870967741936
2004-02,,,,23.2,,9.2,69.74602879510856,2.1,3.5,3.7561,2.5634838709677426
2004-03,10.6,,,19.4,,11.1,20.319727714082475,3.0,4.0,3.7561,1.9849655172413794
2004-04,,,,19.1,,13.2,20.955260008103068,3.8,5.0,3.7561,1.907696774193548
2004-05,,,,17.5,,17.8,3.3180057814275443,4.4,5.7,3.7561,2.2867133333333336
2004-06,11.6,,,16.2,,13.9,7.87750139103894,5.0,6.4,3.7561,2.304367741935484
2004-07,,,,15.5,,13.2,34.84997565263294,5.3,6.4,3.7561,2.3558700000000004
2004-08,,,,15.9,,13.1,26.50613126588533,5.3,6.8,3.7561,2.336158064516129
2004-09,9.8,,,16.1,,14.0,16.67193637936148,5.2,7.9,3.7561,2.162512903225806
2004-10,,,,15.7,,14.2,24.44612200160281,4.3,8.4,3.7561,2.1762566666666667
2004-11,,,,14.8,,13.9,26.299519929675554,2.8,8.1,3.7561,2.1025870967741933
2004-12,8.8,,,14.4,,14.5,-0.5460811998594188,2.4,7.1,3.7561,1.8898
2005-01,,54.7,,20.9,,11.5,,1.9,5.8,3.7561,1.846035483870968
2005-02,,54.621670844190184,,7.6,,15.8,28.437525669069032,3.9,5.38,3.7561,1.9896225806451613
2005-03,11.2,56.24846711284239,,15.1,,13.9,-0.37048416445817267,2.7,5.6,3.7561,1.8469464285714283
2005-04,,56.45795092625417,,16.0,,12.2,2.837312781159646,1.8,5.78,3.7561,1.4059064516129032
2005-05,,53.74068851204783,,16.6,,12.8,0.5391206389157546,1.8,5.9,3.7561,1.1971500000000002
2005-06,11.1,52.1005996911788,,16.8,,12.9,-5.924782927486408,1.6,5.2,3.7561,1.1085709677419353
2005-07,,51.567980149462386,,16.1,,12.7,18.145146637569155,1.8,5.2,3.7561,1.13699
2005-08,,52.585360607745905,,16.0,,12.5,14.59603746565178,1.3,5.3,3.7561,1.2405225806451616
2005-09,10.9,54.477301824241685,,16.5,,12.7,5.731998623787515,0.9,4.5,3.7561,1.2155258064516132
2005-10,,54.58759003591056,,16.1,,12.8,12.18307073663143,1.2,4.0,3.7561,1.1436166666666665
2005-11,,54.539798020272336,,16.6,,12.4,19.1650099473739,1.3,3.2,3.7561,1.116583870967742
2005-12,12.4,54.36498410053933,,16.5,,12.5,9.648714310378704,1.6,3.2,3.7561,1.4822966666666664
2006-01,,52.1,,12.6,,15.5,,1.9,3.05,3.7561,1.493067741935484
2006-02,,52.221670844190186,,20.1,,9.4,25.3997129173003,0.9,3.01,3.7561,1.7082580645161294
2006-03,12.4,53.64846711284239,,17.8,,13.5,3.1032718485354067,0.8,2.49,3.7561,1.3861428571428571
2006-04,,57.85795092625417,,16.6,,13.554756,6.045703270275588,1.2,1.87,3.7561,1.5805645161290323
2006-05,,55.64068851204783,,17.9,,14.2,1.4238350339906845,1.4,2.43,3.7561,1.7795066666666666
2006-06,13.6,54.5005996911788,,19.5,,13.9,-2.198569432710812,1.5,3.52,3.7561,1.7819806451612903
2006-07,,52.86798014946238,,16.7,,13.7,17.594470845906386,1.0,3.58,3.7561,2.07187
2006-08,,53.085360607745905,,15.7,,13.8,6.218304330056711,1.3,3.4,3.7561,2.593903225806452
2006-09,12.2,56.377301824241684,,16.1,,13.9,-1.8489455753414639,1.5,3.5,3.7561,2.1855322580645162
2006-10,,55.18759003591056,,14.7,,14.348977,0.8032341261872542,1.4,2.9,3.7561,2.2781766666666665
2006-11,,55.73979802027233,,14.9,,14.1,12.31907568462055,1.9,2.78,3.7561,2.8131612903225807
2006-12,12.5,54.86498410053933,,14.7,,14.6,2.629858415787602,2.8,3.1,3.7561,2.6644300000000007
2007-01,,55.1,,24.71,,12.748329,,2.2,3.3,3.7561,1.679232258064516
2007-02,,53.221670844190186,,12.6,,16.857995,23.4394892427419,2.7,2.6,3.7561,2.4272645161290316
2007-03,13.6,54.448467112842394,,17.6,,15.338037,-1.2048170913412157,3.3,2.7,3.7561,1.67045
2007-04,,58.35795092625417,,17.4,,15.5,3.6400674452870057,3.0,2.9,3.7561,2.232435483870968
2007-05,,56.540688512047836,,18.1,,15.9,-2.1281478105241867,3.4,2.8,3.7561,2.8124233333333337
2007-06,14.9,54.9005996911788,,19.4,,15.9827,-6.20831706538354,4.4,2.49,3.7561,2.7836870967741936
2007-07,,53.76798014946238,,18.0,,16.4,18.009248562280696,5.6,2.4,3.7561,2.691326666666667
2007-08,,53.9853606077459,,17.5,,17.1,13.461243369207608,6.5,2.6,3.7561,2.1419290322580644
2007-09,14.2,55.477301824241685,,18.9,,17.010498,0.5907688859082469,6.2,2.7,3.7561,3.287529032258065
2007-10,,53.68759003591056,,17.9,,18.1,15.358328075198562,6.5,3.2,3.7561,3.205653333333333
2007-11,,55.83979802027233,,17.3,,18.8,14.640192701090534,6.9,4.55,3.7561,3.8934580645161287
2007-12,13.9,55.36498410053933,,17.4,,20.2,1.7065836470177018,6.5,5.43,3.7561,3.2340599999999995
2008-01,,53.0,,15.4,,21.2,,7.1,6.1,3.7561,2.474238709677419
2008-02,,53.52167084419018,,15.4,,19.1,24.27356652858985,8.7,6.62,3.7561,2.980932258064516
2008-03,11.6,56.74846711284239,,17.8,,21.5,-0.7287937393181565,8.3,7.95,3.7561,2.8818137931034475
2008-04,,58.16595092625417,,15.7,,22.0,3.1604768882892493,8.302000000000001,8.12,3.7561,2.8368129032258063
2008-05,,54.14068851204783,,16.0,,21.6,-3.751032381355543,7.7,8.22,3.7561,3.0750733333333335
2008-06,11.0,52.4005996911788,,16.0,,23.0,-5.165781176307718,7.1,8.84,3.7561,3.427193548387096
2008-07,,48.86798014946238,,14.7,,23.201,20.849273039154376,6.3,10.03,3.7561,3.0590299999999995
2008-08,,48.3853606077459,,12.8,,23.2,14.21719131002651,4.9,10.030299999999999,3.7561,3.261051612903226
2008-09,9.5,50.57730182424169,,11.4,,23.2,4.833336457071173,4.6,9.13,3.7561,3.050958064516129
2008-10,,45.08759003591056,,8.2,,22.0,9.032350701008562,4.0,6.59,3.7561,3.31933
2008-11,,41.61579802027234,,5.598,,20.8,12.372173086765091,2.4,1.99,3.7561,2.8392161290322577
2008-12,7.1,41.26498410053934,,5.7,,19.0,5.271271592846862,1.2,-1.14,3.7561,1.9375666666666667
2009-01,,45.3,,-2.93,,18.5,,1.0,-3.35,3.7561,1.0609709677419354
