month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,社零,固投累计同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
1996-06,9.4,,,13.8,19.5,17.087087648965134,8.6,,,
1996-07,,,,12.2,16.1,19.87082391839405,8.3,,,
1996-08,,,,10.6,16.7,19.198031767018833,8.1,,,
1996-09,9.3,,,13.7,18.3,18.246392264269513,7.4,,,
1996-10,,,,13.3,18.0,17.533317326123075,7.0,0.34,,
1996-11,,,,13.4,17.6,18.139955300897213,6.9,0.04,,
1996-12,10.3,,,14.0,20.1,11.72708036275078,7.0,0.43,,
1997-01,,,,10.3,19.8,,5.9,0.12,,
1997-02,,,,10.4,12.4,18.1,5.6,0.44,,
1997-03,10.2,,,13.5,14.3,12.017953002841242,4.0,0.47,,
1997-04,,,,11.9,13.6,13.89904022754681,3.2,0.06,,
1997-05,,,,11.9,13.0,12.53338150568557,2.8,0.07,,
1997-06,10.1,,,12.1,13.0,12.287087648965134,2.8,-0.37,,
1997-07,,,,8.4,13.0,9.470823918394048,2.7,-0.65,,
1997-08,,,,10.9,11.8,9.798031767018836,1.9,-0.89,,
1997-09,8.7,,,11.1,9.9,10.146392264269512,1.8,-0.95,,
1997-10,,,,11.8,11.6,11.033317326123072,1.5,-0.92,,
1997-11,,,,11.6,10.8,11.239955300897215,1.1,-0.61,,
1997-12,8.6,,,9.2,8.9,8.72708036275078,0.4,-0.92,,
1998-01,,,,1.8,12.9,,0.3,-1.32,,
1998-02,,,,9.5,6.0,10.2,-0.1,-2.65,,
1998-03,7.3,,,9.0,6.4,8.417953002841243,0.7,-3.2,,
1998-04,,,,7.2,6.6,11.099040227546809,-0.3,-3.69,,
1998-05,,,,8.0,6.8,11.23338150568557,-1.0,-4.47,,
1998-06,7.0,,,7.9,6.8,12.287087648965134,-1.3,-4.88,,
1998-07,,,,7.6,8.1,14.570823918394048,-1.4,-4.96,,
1998-08,,,,7.9,9.3,16.398031767018832,-1.4,-5.54,,
1998-09,7.9,,,10.2,7.0,18.946392264269512,-1.5,-4.19,,
1998-10,,,,10.6,7.6,20.13331732612307,-1.1,-5.38,,
1998-11,,,,11.0,7.4,21.239955300897215,-1.2,-5.68,,
1998-12,9.2,,,11.5,8.7,18.92708036275078,-1.0,-5.38,,
1999-01,,,,17.9,5.9,,-1.2,-4.92,,4.0535
1999-02,,,,2.1,10.6,28.3,-1.3,-4.89,,4.037967741935484
1999-03,9.0,,,9.0,5.8,20.81795300284124,-1.8,-4.62,,4.052821428571428
1999-04,,,,9.1,5.7,16.99904022754681,-2.2,-3.86,,4.049838709677418
1999-05,,,,8.9,5.3,16.13338150568557,-2.2,-3.42,,4.020499999999999
1999-06,7.9,,,9.1,5.4,13.587087648965133,-2.1,-3.6,,3.5587741935483876
1999-07,,,,9.3,5.6,11.670823918394047,-1.4,-2.51,,2.6722000000000006
1999-08,,,,9.5,6.0,9.398031767018836,-1.3,-2.3,,2.6123548387096776
1999-09,7.7,,,8.2,6.6,7.046392264269511,-0.8,-2.1,,2.5776129032258064
1999-10,,,,7.0,8.2,5.933317326123072,-0.6,-0.74,,2.568600000000001
1999-11,,,,7.6,7.8,5.739955300897215,-0.9,-1.04,2.57,2.5789999999999993
1999-12,6.8,,,7.4,8.0,5.72708036275078,-1.0,-0.83,2.57,2.5700666666666674
2000-01,,,,8.9,11.3,,-0.2,0.03,2.57,2.5667419354838716
2000-02,,,,12.0,10.5,8.6,0.7,1.2,2.53,2.514903225806451
2000-03,8.8,,,11.9,9.3,6.617953002841241,-0.2,1.87,2.5,2.47803448275862
2000-04,,,,11.4,9.1,8.19904022754681,-0.3,2.59,2.48,2.4292903225806453
2000-05,,,,11.5,11.5,8.03338150568557,0.1,0.67,2.48,2.3957333333333333
2000-06,9.2,,,12.2,8.9,10.587087648965133,0.5,2.95,2.48,2.3779903225806445
2000-07,,,,12.8,9.1,11.570823918394048,0.5,4.5,2.48,2.361866666666667
2000-08,,,,12.8,9.3,11.698031767018835,0.3,3.92,2.48,2.3395806451612904
2000-09,8.9,,,12.0,9.6,11.846392264269513,0.0,3.7,2.48,2.312935483870968
2000-10,,,,11.4,10.4,11.533317326123072,0.0,3.6,2.4,2.298166666666667
2000-11,,,,10.6,8.7,10.639955300897213,1.3,3.5,2.4,2.302741935483871
2000-12,7.6,,,10.4,8.8,9.127080362750778,1.5,2.8,2.4,2.350666666666667
2001-01,,,,2.3,12.5,,1.2,1.43,2.5,2.5238387096774195
2001-02,,,,19.0,8.6,16.7,0.0,0.9,2.5,2.479870967741936
2001-03,9.5,,,12.1,9.5,13.217953002841242,0.8,0.2,2.5,2.507357142857143
2001-04,,,,11.5,9.7,15.39904022754681,1.6,-0.1,2.5,2.456745161290323
2001-05,,,,10.2,11.1,16.13338150568557,1.7,-0.2,2.5,2.369906666666666
2001-06,8.6,,,10.1,10.0,16.38708764896513,1.4,-0.6,2.5,2.3670290322580643
2001-07,,,,8.1,9.8,17.37082391839405,1.5,-1.3,2.5,2.3162999999999996
2001-08,,,,8.1,9.6,17.898031767018832,1.0,-2.0,2.5,2.301012903225806
2001-09,8.0,,,9.5,9.9,17.14639226426951,-0.1,-2.9,2.5,2.28161935483871
2001-10,,,,8.8,10.5,16.333317326123073,0.2,-3.1,2.5,2.2212533333333337
2001-11,,,,7.9,10.1,15.239955300897215,-0.3,-3.7,2.5,2.1427548387096773
2001-12,7.5,,,8.7,9.6,13.127080362750778,-0.3,-4.0,2.5,2.1395833333333334
2002-01,,,,18.6,7.9,,-1.0,-4.2,2.15,2.1383548387096774
2002-02,,,,2.7,9.1,24.5,0.0,-4.2,2.15,2.1354387096774197
2002-03,9.0,,,10.9,8.3,24.21795300284124,-0.8,-4.0,1.97,1.9660214285714288
2002-04,,,,12.1,8.2,25.99904022754681,-1.3,-3.06,1.97,1.9519709677419355
2002-05,,,,12.9,9.3,24.33338150568557,-1.1,-2.63,1.97,1.9508300000000003
2002-06,8.9,,,12.4,8.6,22.88708764896513,-0.8,-2.5,1.97,1.9511129032258065
2002-07,,,,12.8,8.6,23.07082391839405,-0.9,-2.3,1.97,1.9498066666666667
2002-08,,,,12.7,8.8,23.198031767018833,-0.7,-1.7,1.97,1.950151612903226
2002-09,9.7,,,13.8,9.1,23.246392264269513,-0.7,-1.4,1.97,2.049677419354839
2002-10,,,,14.2,9.4,23.033317326123075,-0.8,-1.0,1.97,2.2632366666666663
