month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2008-06,11.0,52.019406937792226,,16.0,,23.0,-5.206719124260147,7.1,8.84,,3.7561,3.5984323908217486
2008-07,,48.552593532416125,,14.7,,23.3,49.19998116481766,6.3,10.03,,3.7561,3.146014400218281
2008-08,,48.38365425670442,,12.8,,23.2,0.9833954257654867,4.9,10.06,,3.7561,3.478786676053879
2008-09,9.5,50.99510151459007,,11.4,,23.2,-2.9076893550550373,4.6,9.13,,3.7561,3.124158780816475
2008-10,,44.91430228590767,,8.2,,22.0,23.113703488131286,4.0,6.59,,3.7561,3.384005151827446
2008-11,,38.65156946375732,,5.4,,20.8,17.200771014751588,2.4,1.99,,3.7561,2.921257468801959
2008-12,7.1,41.28201741791143,,5.7,,19.0,4.0294799204410445,1.2,-1.14,,3.7561,2.03098998536301
2009-01,,45.3,,-2.93,,18.5,,1.0,-3.35,,3.7561,1.0609709677419354
2009-02,,48.90725356047783,,11.0,,11.6,-1.7250419547944809,-1.6,-4.47,,3.7561,1.2498288538264961
2009-03,6.4,51.828813753531264,,8.3,,14.7,1.9576400169028396,-1.2,-6.0,,3.7561,1.0516526349454196
2009-04,,54.01713477487997,,7.3,,14.8,23.737633269947448,-1.5,-6.6,,3.7561,1.064919523502938
2009-05,,53.275079778926695,,8.9,,15.2,9.351747493716474,-1.4,-7.2,,3.7561,1.0997089726742058
2009-06,8.2,53.21940693779223,,10.7,,15.0,0.5542940168144028,-1.7,-7.8,,3.7561,1.1246485198540073
2009-07,,53.452593532416124,,10.8,6.0,15.2,49.915402200627724,-1.8,-8.2,,3.7561,1.3371777335516148
2009-08,,53.98365425670442,,12.3,8.22,15.4,6.536469713425294,-1.2,-7.86,,3.7561,1.8753705470216206
2009-09,10.6,54.09510151459006,,13.9,10.24,15.522151,3.1213469864887777,-0.8,-6.99,,3.7561,1.5512587808164753
2009-10,,55.51430228590767,,16.1,15.87,16.214903,30.365620199180313,-0.5,-5.85,,3.7561,1.7361284851607792
2009-11,,55.051569463757325,,19.2,27.63,15.812804,17.65308313163074,0.6,-2.08,,3.7561,1.5147252107374434
2009-12,11.9,56.68201741791143,,18.5,,17.5374,5.847546021661817,1.9,1.7,,3.7561,1.5549266520296767
2010-01,,55.8,,29.2,,14.0,,1.5,4.32,,3.7561,1.4445096774193549
2010-02,,51.90725356047783,,12.8,10.54,22.1,-1.606589694458318,2.7,5.39,,3.7561,2.270209498987787
