month,GDP同比,制造业PMI一阶差分_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2009-02,,3.9739977529889443,,11.0,,11.6,4.35250411483646,-1.6,-4.47,,3.7561,0.9331612903225807
2009-03,6.4,3.19366193959809,,8.3,,14.7,-3.948863458727544,-1.2,-6.0,,3.7561,0.9584000000000001
2009-04,,1.9916412287296321,,7.3,,14.8,23.203225555623533,-1.5,-6.6,,3.7561,0.9508387096774192
2009-05,,-0.01813207554935925,,8.9,,15.2,7.624327778521518,-1.4,-7.2,,3.7561,0.9505833333333332
2009-06,8.2,0.3462734559231533,,10.7,,15.0,0.29643465495195187,-1.7,-7.8,,3.7561,0.9534096774193548
2009-07,,0.5094445990046986,,10.8,6.0,15.2,48.533318334783836,-1.8,-8.2,,3.7561,1.2501933333333333
2009-08,,0.8431698870605704,,12.3,8.22,15.4,5.985292394383777,-1.2,-7.86,,3.7561,1.657635483870968
2009-09,10.6,0.2927322765127184,,13.9,10.24,15.522151,2.870421767560188,-0.8,-6.99,,3.7561,1.478058064516129
2009-10,,1.473926434086664,,16.1,15.87,16.214903,28.07633000527429,-0.5,-5.85,,3.7561,1.671453333333333
2009-11,,0.0003083019136979545,,19.2,27.63,15.812804,16.567340090930188,0.6,-2.08,,3.7561,1.4326838709677425
2009-12,11.9,1.9258959666960078,,18.5,,17.5374,4.33170808596353,1.9,1.7,,3.7561,1.4615033333333336
2010-01,,-0.8000000000000043,,29.2,,14.0,,1.5,4.32,,3.7561,1.4445096774193549
2010-02,,-3.5260022470110557,,12.8,10.54,22.1,4.470956375172623,2.7,5.39,,3.7561,1.9535419354838717
2010-03,12.2,2.893661939598093,,18.1,21.036924,18.0,-7.9751966971509525,2.4,5.91,,3.7561,1.6712321428571428
2010-04,,1.4916412287296321,,17.8,23.08,18.5,14.615311284884784,2.8,6.81,,3.7561,1.6230612903225807
2010-05,,-1.4181320755493652,,16.5,20.8,18.65733,-5.630983950161031,3.1,7.13,,3.7561,1.6826166666666673
2010-06,10.7,-1.5537265440768453,,13.7,14.14,18.3,-10.093531661109438,2.9,6.41,,3.7561,2.3989129032258063
2010-07,,-0.49055540099529427,,13.4,13.94,17.948076,40.935768047631804,3.3,4.84,,3.7561,2.4691599999999996
2010-08,,0.6431698870605675,,13.9,14.69,18.4,-3.7431159687413427,3.5,4.32,,3.7561,1.725558064516129
2010-09,9.9,2.0927322765127157,,13.3,8.58,18.84,-9.004775449746624,3.6,4.33,,3.7561,2.2158322580645167
2010-10,,1.473926434086664,,13.1,8.37,18.64,20.11839014478804,4.4,5.04,,3.7561,2.3645666666666667
2010-11,,0.5003083019136979,,13.3,3.925325,18.7,21.415690763151396,5.1,6.06,,3.7561,1.8469
2010-12,9.9,-0.7741040333039954,,13.5,,19.1,0.6796100156231191,4.6,5.93,,3.7561,2.871903333333334
