month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2022-02,,50.38373380876834,50.5,12.795905,16.94,6.7,162.38176461466892,0.9,8.8,2.1,2.7752854979535013
2022-03,4.8,48.18349189640322,46.7,5.0,3.5,-3.525412,-12.965039215767803,1.5,8.3,2.1,3.071522305257446
2022-04,,47.043833898646604,40.0,-2.9,-1.3,-11.1,-31.305072752315372,2.1,8.0,2.1,2.824318620455219
2022-05,,49.745432441060714,47.1,0.7,-1.3,-6.7,-24.717582504814594,2.1,6.4,2.1,2.3130279597390215
2022-06,0.8,50.32852212919141,54.3,3.9,4.7,3.1,-11.591603342448103,2.5,6.1,2.1,2.036001852810999
2022-07,,48.96873903089292,52.8,3.8,6.3,2.7,-32.33495627134006,2.7,4.2,2.1,1.972320578028355
2022-08,,49.15826771149449,51.9,4.2,10.7,5.4,-13.988261724233418,2.5,2.3,2.0,2.366754608487255
2022-09,4.0,49.56963684687524,48.9,6.3,0.89,2.5,-6.630931821800711,2.8,0.9,2.0,2.14784768443835
2022-10,,48.85778908527686,47.0,5.0,2.24,-0.5,-21.201085154566496,2.1,-1.3,2.0,2.28756483710483
2022-11,,47.75947292417431,45.1,2.2,0.43,-5.9,-13.750979247607383,1.6,-1.3,2.0,2.483807649340627
2022-12,3.0,46.84258012301845,39.4,1.3,-4.55,-1.8,-10.085878807157723,1.8,-0.7,2.0,2.256084693365603
2023-01,,50.1,54.0,-9.793162,-4.8,,,2.1,-0.8,2.0,2.3978935483870965
2023-02,,52.78373380876834,55.6,18.774816,11.0,3.5,6.16665015357178,1.0,-1.4,2.0,2.694175820534147
2023-03,4.7,50.58349189640322,56.9,3.9,5.92,10.6,-26.78438793764798,0.7,-2.5,2.0,3.160125876686017
2023-04,,48.84383389864661,55.1,5.6,8.33,18.4,-52.90089609731384,0.1,-3.6,2.0,3.1162153946487665
2023-05,,48.94543244106071,53.8,3.5,7.4,12.7,-49.43840129415178,0.2,-4.6,2.0,2.664884626405688
2023-06,6.5,49.12852212919141,52.8,4.4,3.87,3.1,-38.645762202485855,0.0,-5.4,1.9,2.3165437882948696
2023-07,,49.26873903089292,51.5,3.7,6.46,2.5,-45.03730765844533,-0.3,-4.4,1.9,2.361333911361689
2023-08,,49.45826771149449,50.5,4.5,3.89,4.6,-30.365822016923467,0.1,-3.0,1.8,2.702944931067901
2023-09,5.0,49.66963684687524,50.9,4.5,9.89,5.5,-27.51887366995399,0.0,-2.5,1.8,2.5729992973415747
2023-10,,49.15778908527686,50.1,4.6,8.39,7.6,-37.78716882565415,-0.2,-2.6,1.8,2.7285381704381635
2023-11,,49.15947292417431,49.3,6.6,11.597037,10.1,-32.24384963724843,-0.5,-3.0,1.8,2.9209882945019183
2023-12,5.3,48.84258012301845,49.3,6.8,10.0,7.4,-31.129501241046704,-0.3,-2.7,1.8,2.6972913600322688
2024-01,,49.2,50.1,26.3,,,,-0.8,-2.5,1.8,2.3835096774193545
2024-02,,49.28373380876834,51.0,-12.7,,5.5,-2.39562338036279,0.7,-2.7,1.8,2.6233177560180185
2024-03,5.3,49.483491896403216,52.4,4.5,7.36,3.1,-40.75883042526894,0.1,-2.8,1.8,2.8561045712672977
2024-04,,50.043833898646604,50.3,6.7,6.96,2.3,-46.4598762707946,0.3,-2.5,1.8,2.704437975293929
2024-05,,49.64543244106071,50.5,5.6,7.22,3.7,-23.40220530172732,0.3,-1.4,1.8,2.4439012930723547
2024-06,4.7,49.62852212919141,50.2,5.3,5.83,2.0,-3.3925671998886386,0.2,-0.8,1.8,2.1825760463593857
2024-07,,49.36873903089292,50.0,5.1,5.69,2.7,-32.63575605665107,0.5,-0.8,1.8,2.1427805780283546
2024-08,,48.85826771149449,50.2,4.5,8.87,2.1,-17.768690564521417,0.6,-1.8,1.7,2.700351382680804
2024-09,4.6,49.26963684687524,49.9,5.4,8.52,3.2,-8.46166895432166,0.4,-2.8,1.7,2.390212200567382
2024-10,,49.75778908527686,50.1,5.3,4.33,4.8,-27.309769497642765,0.3,-2.9,1.5,2.370891503771497
2024-11,,50.05947292417431,50.1,5.4,2.79,3.0,-18.935607187918194,0.2,-2.5,1.5,2.4232205525664336
2024-12,5.4,49.94258012301845,52.0,6.2,3.18,3.7,-0.8145127063304436,0.1,-2.3,1.5,2.1536613600322694
2025-01,,49.1,50.3,-11.11,,,,0.5,-2.3,1.5,2.1261741935483873
