train_window,forecast_year,calendar_year,month,information_date,target_quarter_end,months_before_quarter_end,latest_released_monthly_period,latest_released_gdp_quarter_end,bridge_gdp_raw,actual_gdp_raw,bridge_nowcast_error_raw,bridge_abs_error_raw,bridge_squared_error_raw,model_loading_gdp_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
200501_201412,2015,2015,2015-11,2015-11-30,2015-12,1,2015-11,2015-10,5.929645536811036,6.9,-0.9703544631889648,0.9703544631889648,0.9415877842307442,5.929645536811036,-291.75374607720414,234.7042765641256,-34.058611327335285
200501_201412,2015,2015,2015-12,2015-12-31,2015-12,0,2015-12,2015-10,5.443202845035123,6.9,-1.4567971549648773,1.4567971549648773,2.1222579507137604,5.443202845035123,-221.38018895977524,271.6099778383614,-34.21140760391718
200601_201512,2016,2016,2016-01,2016-01-31,2016-03,2,2016-01,2016-01,6.297781862464658,6.8,-0.5022181375353414,0.5022181375353414,0.252223057669467,6.297781862464658,27.194159184720466,23.649171888217356,-10.836941455124188
200601_201512,2016,2016,2016-02,2016-02-29,2016-03,1,2016-02,2016-01,6.500579452430145,6.8,-0.2994205475698548,0.2994205475698548,0.0896526643070316,6.500579452430145,34.378255144931416,24.04713128789286,-10.662002075279656
200601_201512,2016,2016,2016-03,2016-03-31,2016-03,0,2016-03,2016-01,6.444249370080346,6.8,-0.3557506299196538,0.3557506299196538,0.1265585106882304,6.444249370080346,39.64699352183898,25.44851462940948,-11.682669467968148
200601_201512,2016,2016,2016-04,2016-04-30,2016-06,2,2016-04,2016-04,4.816760377915279,6.7,-1.8832396220847207,1.8832396220847207,3.5465914741898037,4.816760377915279,11.75209469625264,28.448596307621173,-7.234220847585767
200601_201512,2016,2016,2016-05,2016-05-31,2016-06,1,2016-05,2016-04,5.946147292565406,6.7,-0.7538527074345938,0.7538527074345938,0.5682939045064672,5.946147292565406,32.178766621655086,26.58923384218845,-7.890962107637824
200601_201512,2016,2016,2016-06,2016-06-30,2016-06,0,2016-06,2016-04,6.217102631625519,6.7,-0.4828973683744815,0.4828973683744815,0.2331898683829996,6.217102631625519,59.894174913726005,30.891643894746124,-10.242705251527038
200601_201512,2016,2016,2016-07,2016-07-31,2016-09,2,2016-07,2016-07,5.712331265075633,6.7,-0.9876687349243668,0.9876687349243668,0.9754895299470994,5.712331265075633,63.47591395328379,34.368306507483425,-9.37942937910961
200601_201512,2016,2016,2016-08,2016-08-31,2016-09,1,2016-08,2016-07,5.844576223631536,6.7,-0.8554237763684638,0.8554237763684638,0.7317498371764836,5.844576223631536,68.08676948971839,34.61243268414922,-8.426484552803515
200601_201512,2016,2016,2016-09,2016-09-30,2016-09,0,2016-09,2016-07,6.052248486010604,6.7,-0.6477515139893963,0.6477515139893963,0.4195820238755551,6.052248486010604,70.1481039670071,33.91780307963834,-8.171226174721422
200601_201512,2016,2016,2016-10,2016-10-31,2016-12,2,2016-10,2016-10,5.90740069846883,6.8,-0.8925993015311695,0.8925993015311695,0.7967335130939317,5.90740069846883,52.19870206878238,30.96568181861153,-3.5225288645072963
200601_201512,2016,2016,2016-11,2016-11-30,2016-12,1,2016-11,2016-10,6.213435384991271,6.8,-0.5865646150087294,0.5865646150087294,0.3440580475803389,6.213435384991271,71.75957156240509,33.38106170173236,-4.337745550092266
200601_201512,2016,2016,2016-12,2016-12-31,2016-12,0,2016-12,2016-10,6.094924277437515,6.8,-0.7050757225624844,0.7050757225624844,0.4971317745470094,6.094924277437515,69.26027603534109,33.50210961650873,-2.2095387601197274
200701_201612,2017,2017,2017-01,2017-01-31,2017-03,2,2017-01,2017-01,7.07079066193429,7.0,0.0707906619342901,0.0707906619342901,0.0050113178170949,7.07079066193429,0.8360490973211656,15.126897726185856,9.429726211562372
200701_201612,2017,2017,2017-02,2017-02-28,2017-03,1,2017-02,2017-01,6.892910618227472,7.0,-0.1070893817725284,0.1070893817725284,0.0114681356884223,6.892910618227472,0.887382838676412,16.486885962802766,9.859770127211512
200701_201612,2017,2017,2017-03,2017-03-31,2017-03,0,2017-03,2017-01,7.170678663983878,7.0,0.1706786639838782,0.1706786639838782,0.0291312063393216,7.170678663983878,3.6082859854690823,15.891740202432976,9.65799477059935
200701_201612,2017,2017,2017-04,2017-04-30,2017-06,2,2017-04,2017-04,7.2772732128446815,7.0,0.2772732128446815,0.2772732128446815,0.076880434561212,7.2772732128446815,3.6912014501392334,15.13880139193126,8.22887776958442
200701_201612,2017,2017,2017-05,2017-05-31,2017-06,1,2017-05,2017-04,6.700419547877276,7.0,-0.2995804521227239,0.2995804521227239,0.0897484472940556,6.700419547877276,-3.762971085351828,15.390572101219323,7.118002694831819
200701_201612,2017,2017,2017-06,2017-06-30,2017-06,0,2017-06,2017-04,7.021493039267143,7.0,0.0214930392671428,0.0214930392671428,0.0004619507369389,7.021493039267143,1.3673182432355755,15.785954494111214,6.865397805743736
200701_201612,2017,2017,2017-07,2017-07-31,2017-09,2,2017-07,2017-07,7.422661340584222,6.9,0.5226613405842215,0.5226613405842215,0.2731748769412956,7.422661340584222,4.691641568086377,14.596067223921445,4.734176162229495
200701_201612,2017,2017,2017-08,2017-08-31,2017-09,1,2017-08,2017-07,7.0523664386960485,6.9,0.1523664386960481,0.1523664386960481,0.0232155316409166,7.0523664386960485,0.887033784356007,15.292681645878083,6.117294145064965
200701_201612,2017,2017,2017-09,2017-09-30,2017-09,0,2017-09,2017-07,6.803966948468375,6.9,-0.0960330515316254,0.0960330515316254,0.0092223469864758,6.803966948468375,-0.7982475872632688,16.233052716950862,7.789648148700956
200701_201612,2017,2017,2017-10,2017-10-31,2017-12,2,2017-10,2017-10,7.361022255641766,6.8,0.5610222556417659,0.5610222556417659,0.3147459713253749,7.361022255641766,7.481945305422952,16.58029237125832,7.964760921923224
200701_201612,2017,2017,2017-11,2017-11-30,2017-12,1,2017-11,2017-10,6.981397956462436,6.8,0.1813979564624359,0.1813979564624359,0.0329052186087478,6.981397956462436,3.9549607110452025,17.498264759557706,8.014803073412766
200701_201612,2017,2017,2017-12,2017-12-31,2017-12,0,2017-12,2017-10,6.899494522854567,6.8,0.0994945228545667,0.0994945228545667,0.0098991600780579,6.899494522854567,3.4626364823054927,17.842900857376883,7.167392763710496
200801_201712,2018,2018,2018-01,2018-01-31,2018-03,2,2018-01,2018-01,6.346633659108984,6.9,-0.5533663408910163,0.5533663408910163,0.3062143072311125,6.346633659108984,12.513344497899624,26.697505242548797,-3.022177337087187
200801_201712,2018,2018,2018-02,2018-02-28,2018-03,1,2018-02,2018-01,6.95468521768543,6.9,0.0546852176854297,0.0546852176854297,0.0029904730333028,6.95468521768543,26.086120959562948,24.53901141608342,-4.408238430301078
200801_201712,2018,2018,2018-03,2018-03-31,2018-03,0,2018-03,2018-01,6.547137064613207,6.9,-0.3528629353867938,0.3528629353867938,0.1245122511697846,6.547137064613207,14.271760669405833,25.032924547254822,-1.4857034831616152
