month,中债-新综合财富(3-5年)指数,中债-新综合净价(3-5年)指数,中债-新综合全价(3-5年)指数,中债-综合财富(3-5年)指数,中债-综合净价(3-5年)指数,中债-综合全价(3-5年)指数,中债-新综合财富(5-7年)指数,中债-新综合净价(5-7年)指数,中债-新综合全价(5-7年)指数,中债-综合财富(5-7年)指数,中债-综合净价(5-7年)指数,中债-综合全价(5-7年)指数
2016-12,-0.02011003883723672,-0.020109858135950454,-0.017860050247414105,-0.01786067338638697,-0.014731350611520644,-0.014738216411286365,-0.01813724844155662,-0.016681845724172972,-0.022440588578490073,-0.02098097081160466,-0.0218379419593675,-0.02210545576319578
2017-01,0.007639865859229156,0.007640089455844157,0.008229437991861488,0.00822949556894792,0.012439915574401939,0.01245347547135256,0.006009301495551567,0.006426424238601847,0.002251694957192907,0.0026402080937182326,0.003352127441049957,0.0037773027465684006
2017-02,-0.007821527153678343,-0.007822333208674537,-0.006508583165382276,-0.006509151941283209,-0.0023237735500482026,-0.0023257422682597673,-0.001914355890135,-0.0019175894269256588,-0.00614345898969193,-0.006143813477795801,-0.005516751551037036,-0.005516739640586854
2017-03,-0.0064707860369161985,-0.006471417568370552,-0.006047860835558416,-0.006047562183528199,-0.0001590349424880344,-0.00015328362617594848,-0.0012883742597523673,-0.0012815329163403666,-0.005756399011394908,-0.0057567330753854895,-0.007488710475637705,-0.007488202297213142
2017-04,-0.00986078001819668,-0.009859911212910744,-0.011415154313396902,-0.011414610701698136,-0.003015511941013571,-0.003027624693356268,-0.006597079056444133,-0.00660540853386915,-0.011079578661751022,-0.011079268076511495,-0.012297338526827795,-0.012297098326510048
2017-05,-0.015640209735866994,-0.015640132450738364,-0.015165758970122623,-0.01516538428352221,-0.00815892239760485,-0.008165017409089703,-0.01113568750742655,-0.011139610462087002,-0.015891983585400005,-0.01589193868126848,-0.015042210835131686,-0.01504293515735633
2017-06,0.011133834636471995,0.011134314833427972,0.010888611713871788,0.010889012100807616,0.0168277088279305,0.016862080304800076,0.01932321999470199,0.019354881477107178,0.01526918857221582,0.015269091037908522,0.013754553792299617,0.013753736476306955
2017-07,0.0016867487248983792,0.0016864798809348436,0.0018625426577796311,0.0018626811084276884,0.007119389693261979,0.007135129450435818,0.006892024764084237,0.006902163757176005,0.002562014830572279,0.0025621640192590167,0.003133777939394289,0.0031347705433570905
2017-08,-0.006632709112582513,-0.006632453019695617,-0.005739031702613806,-0.005738174256664896,-0.0006445020044399952,-0.0006477864149300183,0.0008170765207571318,0.0008183067370139963,-0.0037529281939092662,-0.0037531461761858287,-0.0027889848149271756,-0.0027895586393203997
2017-09,-0.0019832398205708035,-0.00198364755714997,-0.0014029019652860297,-0.0014023205808723072,0.0034754130305292286,0.0034752514590286054,0.0053779902549240255,0.005384803343831734,0.0011213665927818361,0.0011214318628283149,0.0013349956220791714,0.0013347153274052559
2017-10,-0.006426023795804592,-0.006427267345342047,-0.005832418139225637,-0.0058336841806493345,-0.001611607552290284,-0.0016167624871223918,-0.005427787494287184,-0.005432336679053407,-0.010014184011843952,-0.010013796743502779,-0.007575532301215437,-0.00757524081334926
2017-11,-0.010715863097608525,-0.010715500153433921,-0.010753103979054046,-0.010752321749905147,-0.00600047315558927,-0.006013865392908158,-0.009036374607798048,-0.009048035760235384,-0.013758403293925858,-0.013758233593352598,-0.013366725355128395,-0.013365811402750505
2017-12,-0.0043892976602573075,-0.004389937619425299,-0.00229467071522782,-0.0022953510789581744,4.153040080701054e-05,3.885929106228758e-05,5.419507843607008e-06,4.872009601086802e-06,-0.004382445042408256,-0.004382699353315811,-0.0035676899936134543,-0.0035669391909972648
2018-01,-0.00037666241526401745,-0.0003764756218925802,0.0017728992335548366,0.001772629001090431,0.004339541118730805,0.004343260282964279,0.0021391482014889718,0.0021410504308641,-0.0025474160019194336,-0.0025475644099328676,-0.0009409342041012403,-0.0009414014514195213
2018-02,0.005814367669182419,0.005815070672324341,0.0073668913929056945,0.007366815380127845,0.009848822263654133,0.00985701702389341,0.011318373368073953,0.011330978398900848,0.007365130324063829,0.007365560924178283,0.00997307078340448,0.009972597567374786
2018-03,0.007065631822502638,0.007066098223895478,0.0068192334241048425,0.006820160726265678,0.010939505992512144,0.010956017386938521,0.012443230050648069,0.012460756011676288,0.00861559236639553,0.008615106990408572,0.007954171726659132,0.007954788919018574
2018-04,0.014973576042278225,0.014973406003762957,0.012952422719290535,0.012952888669661045,0.018899547513287818,0.01892948141712325,0.02044256065696537,0.020486298800501457,0.016536175647134055,0.016536151709760638,0.015137597624991228,0.015137814516926085
2018-05,-0.0060476170484228264,-0.006047089709786846,-0.005446496320123728,-0.005445680551221077,-0.0014154156693203523,-0.00141731278140389,-0.002282148791923344,-0.0022898370355842745,-0.0069724972115789985,-0.00697194365806475,-0.005318310501347789,-0.005318470020799326
2018-06,0.002439962189348055,0.002439344424894241,0.0019265873740623718,0.0019260487518752978,0.006698083278893652,0.006715248494867376,0.010402535401525137,0.010426822492415333,0.006120063998383385,0.006119449239853303,0.0043740272966557026,0.0043740985321343295
2018-07,0.013586788382290438,0.013585824601877627,0.012885822220096932,0.012885467736926781,0.017861453440916275,0.01790193640745419,0.016136832989837036,0.01617069847317909,0.011704449553298524,0.011704160724852919,0.010953805775219427,0.010953716093648147
2018-08,0.0008332567472351116,0.0008331166956996316,0.0013409733812601576,0.0013402362807650725,0.005408292821331262,0.005426328258696822,0.002277876172735338,0.002286400316032333,-0.0024909229080469775,-0.0024910663222419416,-0.0028027761506648208,-0.00280203882364527
2018-09,0.001428618144063476,0.0014277900800341303,0.0013537583285869736,0.0013530689300498278,0.005664817740417494,0.005677060965411984,0.005226298681398678,0.005250240365942682,0.0008079831431024864,0.0008070667457682479,8.456584341076656e-05,8.445596879091966e-05
2018-10,0.007644411187132771,0.007643458285775173,0.009123201815155468,0.009122665554214926,0.011997637983081288,0.012011048879971176,0.015439962867603851,0.015463478243012752,0.010939270747433394,0.010938939286523786,0.012254025284073489,0.012253959736860942
2018-11,0.008263378403532418,0.008263932004538788,0.00770917072602928,0.007708361727436941,0.012367907208395534,0.01238591712292858,0.01804761628634477,0.018069703159823147,0.013864904341163165,0.01386571444444229,0.014895725497482637,0.014895315731753955
2018-12,0.005070674481474802,0.005070132960721008,0.006615014762709759,0.006615048545029811,0.009094953416909357,0.009105025591736204,0.01314266510469908,0.013156486254768174,0.009043147923575967,0.009042723771702121,0.01068766576627267,0.010687694646365209
2019-01,0.00872422103372461,0.008724005740698315,0.010116666834120824,0.010115742056369559,0.013090760454501416,0.013100719191744936,0.01611551797182975,0.016130672384997213,0.011658405335687405,0.011658144466122344,0.012813402386662176,0.012813751633803605
2019-02,-0.0032201848764963348,-0.0032205588164171406,-0.0015282228692994337,-0.0015292253466834271,0.0008918057067472951,0.0008924252365687391,-0.0007704518271938188,-0.000773855790214717,-0.0050106294533504014,-0.005010918370763284,-0.0025510116583375986,-0.002550567797761749
2019-03,-0.003840071157485747,-0.003839865035040413,-0.004165512587210096,-0.0041652178952249486,0.000170464030324613,0.00017592817277378714,-0.002012140172593324,-0.0020129538526308943,-0.006148551688967108,-0.006148906468124715,-0.0051234982259544815,-0.005123746825204112
2019-04,-0.007052126769801159,-0.007053182827907012,-0.007628781617621039,-0.00762911172155345,-0.0025595543887610983,-0.002553024551003258,-0.004805436453361289,-0.004808076039974685,-0.00939966544358739,-0.009399273990994828,-0.010775849055301712,-0.010775344173687085
2019-05,0.004526901444994236,0.004526127686787396,0.0057556139626187,0.005755375887956049,0.008624379734406551,0.008630291938333423,0.011224223569094027,0.011236486366672294,0.007136916253488446,0.007136381334568842,0.008688345942399422,0.008688346730729934
2019-06,0.0023457852249701983,0.0023451075596476745,0.0014718174219574554,0.0014716810810564418,0.006457056496475433,0.006468461330783271,0.008951642176632024,0.008962080951479434,0.00488134483073388,0.00488162965681771,0.004592603363869907,0.004591748481211022
2019-07,0.003442478986325437,0.003441300230057065,0.002788957109797874,0.002789954342060197,0.007726774828151983,0.007738173869322962,0.010373721780692069,0.010385506513289622,0.006152960555613429,0.00615238064878465,0.0069225173386535666,0.006921744310921962
2019-08,0.002770102500795346,0.0027694220510969814,0.0023620407017290734,0.0023615111853640958,0.006841994433412157,0.006849776472836799,0.008210974189409859,0.008214695299878283,0.00424672195951481,0.004246967450793893,0.0035811426890222098,0.003581638324655634
2019-09,-0.0007397260820238838,-0.000740419511103263,-0.002028598913147439,-0.00202870619262574,0.0035854526281531296,0.0035904826923562894,0.001335963939463003,0.0013332666699998885,-0.002866522228062718,-0.002865762528323823,-0.005054731897224607,-0.0050545584358050455
2019-10,-0.004140823916250147,-0.004140302475984736,-0.00331309567490079,-0.0033133095636100895,0.00023524967289456633,0.00023333473400088955,-0.002370489571083656,-0.0023773840407160796,-0.006606599913447364,-0.006606057735440096,-0.005116584857237205,-0.0051159137664824605
2019-11,0.0010824391227850505,0.0010819131346857525,0.0015125734362086973,0.0015126108370808744,0.0051783277067849465,0.00518169735493168,0.0074878702020055865,0.007493317765599361,0.00362047045640268,0.003619748618743257,0.003911899164501964,0.003912059936493906
2019-12,0.0038367830111560863,0.0038365576424028713,0.005436589084550247,0.005436349297000431,0.008063562964891968,0.008071326953876579,0.01087065923779229,0.010888077715353495,0.006903471953022322,0.0069029414710692905,0.008032570892326785,0.008032495408463625
2020-01,0.005668409030004762,0.005667396891518628,0.006716940886956957,0.006717780013723029,0.009099630412908954,0.009107908242996787,0.010422580583054009,0.010440305902557512,0.007189210822821757,0.007189629481732851,0.009048919284456503,0.009048301393690839
2020-02,0.009877757788651742,0.009877497952335279,0.01056614997590044,0.010566682401600413,0.013685899857237782,0.01371813292429569,0.018689989560462417,0.018733187463650935,0.015155517795882423,0.015154555663972502,0.014846925960724455,0.01484709895163805
2020-03,0.006574841977413204,0.006575085703011352,0.005808314949217186,0.005808864557280025,0.010492889818906725,0.010546690200881281,0.01401699606760709,0.014086247033791466,0.010383161889016224,0.010383766908332204,0.01029299099112646,0.010292847794703075
2020-04,0.020950384648630083,0.020950078168994635,0.019937979794217853,0.01993814662365123,0.024678807875971875,0.02475222445993097,0.029967026823507936,0.03004187395520197,0.026504548476926182,0.026504273333925132,0.024358498819873953,0.02435816184772177
2020-05,-0.008435908062900288,-0.008435844204133458,-0.007033640478570469,-0.007032850341435415,-0.004434097230244349,-0.00442303861252713,-0.008387923852751222,-0.008378611282162662,-0.012160025005572117,-0.012160726908472141,-0.011260109677029395,-0.01125959390277087
2020-06,-0.020228579068264585,-0.020227296120002403,-0.020347980720388903,-0.02034801332667635,-0.015784605917894656,-0.015790544137605278,-0.014720123264907459,-0.014726153917715923,-0.018829654381443572,-0.01882896058988237,-0.01878371771009235,-0.018783057592474228
2020-07,-0.005053505374300049,-0.005053161401468387,-0.00471476309075336,-0.004714801605993246,-0.0010387978129068332,-0.0010273073858294568,-0.0009245106088503485,-0.0009127173621603646,-0.004687189019524807,-0.004687462908418261,-0.004040324334034895,-0.0040407207039275805
2020-08,-0.005060775154853592,-0.0050613637907677145,-0.005884824800487465,-0.0058853809196980356,-0.0007392847909478695,-0.0007443038483956332,0.0008198842543289953,0.0008159602557833434,-0.0032295956428514128,-0.003229782810674431,-0.002851228767985048,-0.002851361373569339
2020-09,-0.006134491693582933,-0.006133527013129414,-0.007380695726785347,-0.0073812086729202475,-0.0018932663352059231,-0.0018994382959843792,-0.0036017641107159992,-0.003604784606935696,-0.007629085843776751,-0.007629528077068182,-0.008392545668428952,-0.0083923372902448
2020-10,4.009820049333257e-06,4.018993764454137e-06,0.0010287142703062635,0.0010288037768286795,0.003965606895428797,0.003968318537484139,0.003607556814668289,0.0036083068355208248,-0.00015363357282272005,-0.0001536425312145262,0.0015063816966962573,0.0015058261642664217
2020-11,-0.00030140484799656697,-0.0003020944206181264,0.0012744103129203044,0.0012744748826416519,0.003860014590759686,0.003866328795278706,0.008403411397410299,0.008410996884307576,0.004521328695025861,0.004521593160603077,0.005236253662095791,0.005236043526440026
