month,month_end_date,中债-新综合财富(3-5年)指数__natural_month_return,中债-新综合净价(3-5年)指数__natural_month_return,中债-新综合全价(3-5年)指数__natural_month_return,中债-综合财富(3-5年)指数__natural_month_return,中债-综合净价(3-5年)指数__natural_month_return,中债-综合全价(3-5年)指数__natural_month_return,中债-新综合财富(5-7年)指数__natural_month_return,中债-新综合净价(5-7年)指数__natural_month_return,中债-新综合全价(5-7年)指数__natural_month_return,中债-综合财富(5-7年)指数__natural_month_return,中债-综合净价(5-7年)指数__natural_month_return,中债-综合全价(5-7年)指数__natural_month_return,roll20_start_date,roll20_end_date,中债-新综合财富(3-5年)指数__roll20_return,中债-新综合净价(3-5年)指数__roll20_return,中债-新综合全价(3-5年)指数__roll20_return,中债-综合财富(3-5年)指数__roll20_return,中债-综合净价(3-5年)指数__roll20_return,中债-综合全价(3-5年)指数__roll20_return,中债-新综合财富(5-7年)指数__roll20_return,中债-新综合净价(5-7年)指数__roll20_return,中债-新综合全价(5-7年)指数__roll20_return,中债-综合财富(5-7年)指数__roll20_return,中债-综合净价(5-7年)指数__roll20_return,中债-综合全价(5-7年)指数__roll20_return
2012-04,2012-04-27,0.001051191098911497,0.00104662761130081,0.0015619879743924425,0.0015655895133830366,0.004258693609022535,0.004257171748088817,0.002124231640692864,0.002123091027528057,-0.0011747703612982052,-0.0011416329855563623,0.0010418151401716536,0.0012508886029414246,2012-04-20,2012-05-18,0.01084427797482479,0.010848685167444971,0.011458876831934361,0.011473768918935479,0.013883629674105169,0.013902023107087214,0.015451718729289077,0.015803679899337064,0.012334938452957855,0.012696743098967067,0.013657971166713745,0.014347752204369124
2012-05,2012-05-31,0.015220749002066158,0.015217872906051477,0.016115056088239932,0.01610281667301483,0.018878132951188675,0.01890210000911563,0.020531599878439444,0.02019198029983582,0.01677512639465739,0.01643144627702231,0.018228246991388364,0.018310873754917134,2012-05-21,2012-06-19,0.004882194833035314,0.004871711916987431,0.0054727668032137355,0.005453498776345045,0.008114428500408888,0.008114249512657157,0.0070324692626850815,0.004694185992874411,0.0036728718734264643,0.0013365394773443562,0.004622979586699216,0.0027402744930073997
2012-06,2012-06-29,0.0005986746173816115,0.0005963912405531069,0.0013306707545666097,0.0013193983098340745,0.0039016769214681446,0.0039009652020518537,0.003071057711981018,0.0021818426996595974,-0.0003569612754901197,-0.001209326277965661,0.00033579336472322474,-3.425951303337449e-05,2012-06-20,2012-07-19,0.002095313021974965,0.0020972085295041243,0.0032960688508034686,0.0033115440909636806,0.005374114205725311,0.005382629567242336,0.00805177229482612,0.009269090692949344,0.004713997496958333,0.005979934535453424,0.004485077852877328,0.006355741300335227
2012-07,2012-07-31,-0.0017515071452407494,-0.0017535688135138505,-0.001062009886144466,-0.0010480121128332298,0.0019258968797613019,0.001922494753276549,0.0040687431797725715,0.004446355119060552,0.0003011126692189503,0.0007357435209671692,0.0005251332836095912,0.0015565463375788458,2012-07-20,2012-08-17,-0.009205616096609637,-0.00920583525922658,-0.008114658298762567,-0.008116563174009217,-0.005883083387108856,-0.005888419735021189,-0.004819636956845064,-0.005615267855768935,-0.00826112229617626,-0.00901154929550363,-0.006518064100106358,-0.006997613946510439
2012-08,2012-08-31,-0.011031898942504448,-0.011088539272527842,-0.0096610200938827,-0.009687817411913047,-0.0073334216632523486,-0.007399556352530645,-0.006061621907925807,-0.006285352596626215,-0.009918289886142295,-0.010066100695740987,-0.008712085697950345,-0.012071528684326371,2012-08-20,2012-09-19,-0.010623045877999004,-0.01088068909370099,-0.009744761805093538,-0.009742807812184728,-0.0070226120181091645,-0.007310608336565272,-0.008448391741385675,-0.008095585260460836,-0.012258840491286227,-0.011854722058045941,-0.01135661910167629,-0.014357467073442987
2012-09,2012-09-28,-0.004295369401768556,-0.0042144490827374925,-0.003866884740980625,-0.003462871776330423,-0.0010198759447541672,-0.0009535581605493171,-0.0019292075274169873,-0.0019142484114770264,-0.005371330232539995,-0.00536736269219984,-0.006523335645323369,-0.006524552700361785,2012-09-20,2012-10-19,0.004249093402468818,0.0040431022499956,0.0052784960956111515,0.005321677582928341,0.0075062844751792035,0.00731056779980932,0.006899539125451826,0.006918692137874549,0.0034654069001325283,0.0034669664486164375,0.0016428775135231,0.0016438816367474463
2012-10,2012-10-31,-0.0003013200832848728,-0.0005440936724515621,0.0006676709943032044,0.000731262113291109,0.0034916737011738697,0.0032413579194507935,0.0016686784526234177,0.0016525175060828623,-0.002361177924064095,-0.0023615666299856564,-0.002148588623680725,-0.0021486293892185593,2012-10-22,2012-11-19,-0.00042446397625417465,-7.022908728226973e-06,-0.00043468056142326184,0.0003190879340650987,0.0028057825061167385,0.0032067314746255793,0.003297784328545994,0.0032850966698310113,-0.00011665214233125276,-0.00011667124200942514,0.00012509020030315732,0.00012435994667603367
2012-11,2012-11-30,-0.000762569588242501,-0.0009150169242977402,-0.0005685513124606967,-0.0003709993124773048,0.0027106969427164174,0.0025497651226800144,0.0036765822157056594,0.003679836679436388,1.3748849761352488e-05,1.3751118506100113e-05,-0.0008661499075388601,-0.0008665887554916152,2012-11-20,2012-12-19,-0.0027897965125034396,-0.0032676853310324994,-0.0020266507389574695,-0.0022270189746895763,0.0006275895727556602,0.00013807438604507283,0.0004736894089094612,0.0004719818673024623,-0.003127150528674738,-0.003126685164668186,-0.003633876237304934,-0.0036344354993651518
2012-12,2012-12-31,-0.0004987129987129579,-0.0002885294948522521,6.958137400636666e-05,0.000588181682368738,0.003124876577929925,0.0033179733541008893,0.0027044796347237554,0.002707775231144849,-0.0011205158497508139,-0.0011197185381190966,-1.6851202941925436e-05,-1.606185894287293e-05,2012-12-20,2013-01-18,0.0035289403312068757,0.0033211353672224497,0.0052127496383824745,0.005169430967693511,0.006884982493328362,0.0066403925475806425,0.0055648033576909395,0.005570594991096023,0.0020196435668498047,0.0020199754218284127,0.00355166068945878,0.0035513331209089394
2013-01,2013-01-31,0.003926306555714687,0.003117420143763372,0.006014609191436149,0.005357194839439083,0.007505123455072038,0.006664889001067431,0.006783524576700284,0.0067883382338260745,0.003000570226320942,0.0030000796481322034,0.005715462643530289,0.005715279135971585,2013-01-21,2013-02-19,0.003425502343500808,0.0027048277715708835,0.004341487970148439,0.0038693634107236363,0.006740323062975673,0.006020139587851858,0.006543031577935787,0.006549302490282072,0.00300824470981631,0.003007756380565052,0.005375737368556122,0.0053754433258283996
