train_window,forecast_year,calendar_year,month,information_date,target_quarter_end,months_before_quarter_end,latest_released_monthly_period,latest_released_gdp_quarter_end,predicted_gdp_raw,actual_gdp_raw,prediction_error_raw,prediction_abs_error_raw,prediction_squared_error_raw,model_loading_gdp_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
2012-2021,2022,2022,2022-10,2022-10-19,2022-12,2,2022-10,2022-10,4.726780428734635,3.0,1.726780428734635,1.726780428734635,2.9817706490609703,4.726780428734635,-55.07493507625688,7.911702311096171,13.717084193965295
2012-2021,2022,2022,2022-11,2022-11-19,2022-12,1,2022-11,2022-10,3.948178774224129,3.0,0.9481787742241292,0.9481787742241292,0.8990429878891723,3.948178774224129,-75.91388145559173,10.138154960822376,6.765692086542356
2012-2021,2022,2022,2022-12,2022-12-19,2022-12,0,2022-12,2022-10,3.2559221427232607,3.0,0.2559221427232607,0.2559221427232607,0.065496143136065,3.2559221427232607,-103.42376481946069,22.99182568984288,-3.1874420784102933
2013-2022,2023,2023,2023-01,2023-01-19,2023-03,2,2023-01,2023-01,2.586310946859919,4.7,-2.113689053140081,2.113689053140081,4.467681413364213,2.586310946859919,-25.92173378329284,-3150.652630318189,-1.49890062447781
2013-2022,2023,2023,2023-02,2023-02-19,2023-03,1,2023-02,2023-01,2.2218875617713767,4.7,-2.4781124382286235,2.4781124382286235,6.141041256503414,2.2218875617713767,-38.388438828956296,-3042.0560758830543,-0.5127560538315542
2013-2022,2023,2023,2023-03,2023-03-19,2023-03,0,2023-03,2023-01,4.771538330191473,4.7,0.0715383301914727,0.0715383301914727,0.0051177326865841,4.771538330191473,-32.832261468665315,-357.5925774901143,-6.021520476960922
2013-2022,2023,2023,2023-07,2023-07-19,2023-09,2,2023-07,2023-07,3.714580318629704,5.0,-1.2854196813702958,1.2854196813702958,1.6523037572541128,3.714580318629704,-38.207842989331056,-1340.8646681314367,-10.79495373933596
2013-2022,2023,2023,2023-08,2023-08-19,2023-09,1,2023-08,2023-07,4.052159225027536,5.0,-0.9478407749724642,0.9478407749724642,0.8984021347004015,4.052159225027536,-31.89421170154145,-1220.687081071895,-12.769042087888437
2013-2022,2023,2023,2023-09,2023-09-19,2023-09,0,2023-09,2023-07,4.8866820421135255,5.0,-0.1133179578864744,0.1133179578864744,0.0128409595795608,4.8866820421135255,-33.03059825096611,-217.4132794562153,-13.755613753378023
2013-2022,2023,2023,2023-10,2023-10-19,2023-12,2,2023-10,2023-10,7.632661420383458,5.3,2.3326614203834586,2.3326614203834586,5.441309302145375,7.632661420383458,-32.10873590643557,2887.255441725132,-10.866902443163744
