month,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:固投当月同比
2012-02-29,21.5,21.46658365894374
2012-03-31,20.9,21.14288795794874
2012-04-30,20.2,19.245714651899306
2012-05-31,20.1,21.04100365019173
2012-06-30,20.4,21.78143381779696
2012-07-31,20.4,20.638724195944704
2012-08-31,20.2,19.364885326113136
2012-09-30,20.5,23.079541482020225
2012-10-31,20.7,22.405478651546275
2012-11-30,20.7,19.963478516596545
2012-12-31,20.6,18.83629678273857
2013-02-28,21.2,21.176695534776524
2013-03-31,20.9,21.5162019033742
2013-04-30,20.6,19.839351098735204
2013-05-31,20.4,19.67701179600077
2013-06-30,20.1,19.913672648144143
2013-07-31,20.1,20.24572193787324
2013-08-31,20.3,21.42751089976136
2013-09-30,20.2,19.64003685148228
2013-10-31,20.1,19.243887269019
2013-11-30,19.9,17.567128555163734
2013-12-31,19.6,17.21882454738668
2014-02-28,17.9,17.943316239416895
2014-03-31,17.6,17.344105874053838
2014-04-30,17.3,16.64078492736012
2014-05-31,17.2,16.91384255304571
2014-06-30,17.3,17.855830200642497
2014-07-31,17.0,15.636406489236233
2014-08-31,16.5,13.309523833592053
2014-09-30,16.1,11.51891217448082
2014-10-31,15.9,13.922541581867277
2014-11-30,15.8,13.363438962882302
2014-12-31,15.7,12.580676838167973
2015-02-28,13.9,13.850607363608102
2015-03-31,13.5,13.131777785873023
2015-04-30,12.0,9.575602599172583
2015-05-31,11.4,9.923627296868954
2015-06-30,11.4,11.569927081523137
2015-07-31,11.2,9.87570743405448
2015-08-31,10.9,9.105559702555976
2015-09-30,10.3,6.83254918079188
2015-10-31,10.2,9.344850804500917
2015-11-30,10.2,10.800760256079656
2015-12-31,10.0,6.813405502550651
2016-02-29,10.2,10.239700728821187
2016-03-31,10.7,11.156791078608052
2016-04-30,10.5,10.082754945484428
2016-05-31,9.6,7.435851332775423
2016-06-30,9.0,7.289071667557967
2016-07-31,8.1,3.89144743844394
2016-08-31,8.1,8.188656726833754
2016-09-30,8.2,9.024745103953592
2016-10-31,8.3,8.750986475862788
2016-11-30,8.3,8.765942791321034
2016-12-31,8.1,6.51538556404514
2017-02-28,8.9,8.866842815787756
2017-03-31,9.2,9.54139735953039
2017-04-30,8.9,8.129922781240428
2017-05-31,8.6,7.829468019221464
2017-06-30,8.6,8.767404043706083
2017-07-31,8.3,6.506648084630196
2017-08-31,7.8,3.835292910666155
2017-09-30,7.5,6.209286436498229
2017-10-31,7.3,3.159148640850052
2017-11-30,7.2,5.76527831909317
2017-12-31,7.2,-2.28782550729425
2018-02-28,7.9,7.849872783745049
2018-03-31,7.5,7.133381869600841
2018-04-30,7.0,6.024186460166003
2018-05-31,6.1,3.8617957378678014
2018-06-30,6.0,5.705077016162763
2018-07-31,5.5,2.952826742625736
2018-08-31,5.3,4.616366540739891
2018-09-30,5.4,6.149652588948085
2018-10-31,5.7,8.064064199312671
2018-11-30,5.9,7.793503308616656
2018-12-31,5.9,-53.43380333298998
2019-02-28,6.1,0.4997086900013547
2019-03-31,6.3,1.5765003473644734
2019-04-30,6.1,0.5243026401716477
2019-05-31,5.6,0.1994001783253596
2019-06-30,5.8,0.3346744921437716
2019-07-31,5.7,-14.85927293868199
2019-08-31,5.5,-12.843665768194068
2019-09-30,5.4,-11.28814949329272
2019-10-31,5.2,-22.532553606237816
2019-11-30,5.2,-62.98541329011344
2019-12-31,5.4,-32.64818536918352
2020-02-29,-24.5,-25.69956966710517
2020-03-31,-16.1,-10.872996387359269
2020-04-30,-10.3,-2.221768505456978
2020-05-31,-6.3,0.909267408749681
2020-06-30,-3.1,1.0595376785823785
2020-07-31,-1.6,-4.380221722365041
2020-08-31,-0.3,-4.089995361063858
2020-09-30,0.8,-4.754358161648176
2020-10-31,1.8,-5.866011756180045
2020-11-30,2.6,-28.76784306856993
2020-12-31,2.9,8.935810810810807
2021-02-28,35.0,35.75008252558294
2021-03-31,25.6,-0.1259297154775462
2021-04-30,19.9,-9.242772262191767
2021-05-31,15.4,-19.652076318742985
2021-06-30,12.6,-24.786127728767493
2021-07-31,10.3,-2.0541471508685016
2021-08-31,8.9,-10.560257960499795
2021-09-30,7.3,-11.754714364947304
2021-10-31,6.1,2.6388948291347747
2021-11-30,5.2,196.6498647651832
2021-12-31,4.9,160.84147413035615
2022-02-28,12.2,12.218144840392608
2022-03-31,9.3,6.601914969068923
2022-04-30,6.8,1.8029700899393488
