month,ic_signal_vs_lag1_actual,中债-新综合财富(3-5年)指数__next_1m,position,bond_ret_next_1m,strategy_ret,is_trade,signal_value,strategy_ret_abs,positive_rank,negative_rank,abs_rank,scheme_choice,scheme_label,signal_name,signal_col,signal_label,trade_side,trade_side_label,threshold,target_clean,duration_bucket,index_type,series_family,中债-新综合净价(3-5年)指数__next_1m,中债-新综合全价(3-5年)指数__next_1m,中债-综合财富(3-5年)指数__next_1m,中债-综合净价(3-5年)指数__next_1m,中债-综合全价(3-5年)指数__next_1m,中债-新综合财富(5-7年)指数__next_1m,中债-新综合净价(5-7年)指数__next_1m,中债-新综合全价(5-7年)指数__next_1m,中债-综合财富(5-7年)指数__next_1m,中债-综合净价(5-7年)指数__next_1m,中债-综合全价(5-7年)指数__next_1m,actual_signal_vs_lag1_actual
2020-04,,,-1.0,-0.01940713048904,0.01940713048904,True,10.0,0.01940713048904,1.0,21.0,1.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,-0.01940713048904,,,,10.0
2020-05,,,-1.0,-0.0081674314313728,0.0081674314313728,True,10.0,0.0081674314313728,2.0,20.0,2.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,-0.0081674314313728,,,,10.0
2020-06,,,-1.0,0.0009824004974552,-0.0009824004974552,True,10.0,0.0009824004974552,12.0,10.0,18.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0009824004974552,,,,10.0
2020-07,,,-1.0,-0.0068083978827723,0.0068083978827723,True,1.7000000000000002,0.0068083978827723,4.0,18.0,4.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,-0.0068083978827723,,,,1.7000000000000002
2020-08,,,-1.0,-0.0034687869333721,0.0034687869333721,True,1.7000000000000002,0.0034687869333721,6.0,16.0,11.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,-0.0034687869333721,,,,1.7000000000000002
2020-09,,,-1.0,0.0004586316992489,-0.0004586316992489,True,1.7000000000000002,0.0004586316992489,10.0,12.0,20.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0004586316992489,,,,1.7000000000000002
2020-10,,,-1.0,0.003860491365643,-0.003860491365643,True,1.5999999999999996,0.003860491365643,18.0,4.0,9.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.003860491365643,,,,1.5999999999999996
2020-11,,,-1.0,0.0045900718446028,-0.0045900718446028,True,1.5999999999999996,0.0045900718446028,20.0,2.0,7.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0045900718446028,,,,1.5999999999999996
2020-12,,,-1.0,-0.0058621767756649,0.0058621767756649,True,1.5999999999999996,0.0058621767756649,5.0,17.0,5.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,-0.0058621767756649,,,,1.5999999999999996
2021-01,,,-1.0,0.0001951640025084,-0.0001951640025084,True,12.399999999999999,0.0001951640025084,9.0,13.0,21.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0001951640025084,,,,12.399999999999999
