scheme_choice,scheme_label,signal_name,signal_col,signal_label,target_clean,duration_bucket,index_type,series_family,trade_side,trade_side_label,threshold,n_obs,trade_months,coverage_ratio,mean_signal_abs_trade,avg_monthly_ret_all,avg_monthly_ret_trade,trade_win_rate,annualized_sharpe,cum_return,max_drawdown
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(3-5年)指数,3-5年,全价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.0015059930236993799,0.00401598139653168,0.8666666666666667,1.505326450563093,0.19706709755131202,-0.0038155566277601194
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合全价(3-5年)指数,3-5年,全价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.0014208824293326157,0.003479712071834977,0.8367346938775511,1.6220718670333476,0.1851154324722677,-0.00615871479955421
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(3-5年)指数,3-5年,净价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.0015040245807390934,0.00401073221530425,0.8666666666666667,1.505711218091152,0.19678742527900717,-0.003812631095999386
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合净价(3-5年)指数,3-5年,净价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.0014196182991124248,0.003476616242724306,0.8367346938775511,1.6224106001284675,0.1849373359345563,-0.006152562657514404
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合财富(3-5年)指数,3-5年,财富,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.0005841670079353017,0.001557778687827471,0.6444444444444445,0.68929312718175,0.07204595009296488,-0.010621415058426287
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合财富(3-5年)指数,3-5年,财富,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.0004152973940317641,0.0010170548425267694,0.6530612244897959,0.5634211277836446,0.05068042920570859,-0.012025949354531829
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.0007259314067897099,0.0019358170847725592,0.5777777777777777,0.6591001374480893,0.09004540989768506,-0.014254677373786051
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.00045592176516813336,0.0011165430983709388,0.6326530612244898,0.45938475945503093,0.05548009395805198,-0.016188332609403777
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(5-7年)指数,5-7年,净价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.001718105828703254,0.004581615543208678,0.8,1.3704320204893128,0.22738329881552888,-0.0058914867951113115
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合净价(5-7年)指数,5-7年,净价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.001527086499065134,0.00373980367117992,0.7755102040816326,1.3731281048804247,0.19989343978168606,-0.009760423999788714
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(5-7年)指数,5-7年,财富,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.0017154318622826334,0.004574484966087021,0.8,1.3703058950790672,0.22699416132797134,-0.0058879541367138355
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合财富(5-7年)指数,5-7年,财富,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.0015328304139907568,0.003753870401610016,0.7755102040816326,1.376360484479528,0.20071657279469823,-0.009751570930405573
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(5-7年)指数,5-7年,全价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.0007938123178833609,0.0021168328476889623,0.6444444444444445,0.7392224321656213,0.09900036868777584,-0.010940416337578585
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合全价(5-7年)指数,5-7年,全价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.0005520278924044725,0.0013519050426231978,0.6326530612244898,0.537767072704742,0.06766484317788679,-0.01731315246628906
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(5-7年)指数,5-7年,净价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.000793778654036355,0.0021167430774302804,0.6444444444444445,0.7391894508808987,0.09899592847511718,-0.010939362457878188
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合净价(5-7年)指数,5-7年,净价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.0005668931556563316,0.0013883097689542814,0.6530612244897959,0.552461005053273,0.06957062502502209,-0.017313327617629826
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合财富(5-7年)指数,5-7年,财富,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,45,0.375,2.4066666666666667,0.0007259127913561887,0.0019357674436165035,0.5777777777777777,0.6590861480967902,0.09004298459284388,-0.014254632346954565
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合财富(5-7年)指数,5-7年,财富,综合,long_on_weak_growth,增长明显走弱时做多债券,0.2,120,49,0.4083333333333333,1.3750335293298157,0.000448143724392745,0.001097494835247539,0.6326530612244898,0.45253681616525304,0.054499054861454566,-0.01618833596191538
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,33,0.275,3.1999999999999997,0.0003542771960374983,0.00128828071286363,0.6363636363636364,0.47718816909677886,0.043013046106974206,-0.010619959107390664
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,38,0.31666666666666665,1.6973026979512469,0.0001983364189098841,0.000626325533399634,0.631578947368421,0.29970574546404016,0.023763500039113872,-0.012025835443192578
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,33,0.275,3.1999999999999997,0.0003225420538510175,0.0011728801958218818,0.6060606060606061,0.43014363336127254,0.03904202719909966,-0.012023315172210558
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,38,0.31666666666666665,1.6973026979512469,9.834122389206373e-05,0.000310551233343359,0.6052631578947368,0.15106439793734705,0.011564262531606584,-0.012748210086560352
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(3-5年)指数,3-5年,财富,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,33,0.275,3.1999999999999997,0.00032259856949539074,0.0011730857072559664,0.6060606060606061,0.4302341121713015,0.03904910132034223,-0.012023336240861604
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合财富(3-5年)指数,3-5年,财富,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,38,0.31666666666666665,1.6973026979512469,9.832764648364785e-05,0.0003105083573167827,0.6052631578947368,0.1510434909514503,0.011562614388542336,-0.012750071462335533
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(3-5年)指数,3-5年,全价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,33,0.275,3.1999999999999997,0.0010768453027292556,0.003915801100833657,0.8484848484848485,1.2053683059111624,0.13722001758225266,-0.0038155566277603414
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合全价(3-5年)指数,3-5年,全价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,38,0.31666666666666665,1.6973026979512469,0.0009548228141211749,0.003015229939330026,0.7894736842105263,1.242410943344405,0.12086937692733146,-0.006158714799554099
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(3-5年)指数,3-5年,净价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,33,0.275,3.1999999999999997,0.0010752558839025115,0.003910021396009133,0.8484848484848485,1.205710076947479,0.13700561422318724,-0.003812631095999386
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合净价(3-5年)指数,3-5年,净价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,38,0.31666666666666665,1.6973026979512469,0.0009538958006973242,0.003012302528517866,0.7894736842105263,1.2425045829136272,0.12074579520607398,-0.006152562657514293
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合财富(3-5年)指数,3-5年,财富,综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,33,0.275,3.1999999999999997,0.00035422886752022997,0.0012881049728008364,0.6363636363636364,0.47709418107834556,0.04300694945610717,-0.010621415058426398
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合财富(3-5年)指数,3-5年,财富,综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,38,0.31666666666666665,1.6973026979512469,0.00019833520943599164,0.0006263217140083948,0.631578947368421,0.2996962625429633,0.0237633351817772,-0.012025949354531829
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,33,0.275,3.1999999999999997,0.0004846133283485856,0.001762230284903948,0.5757575757575758,0.5051983642864051,0.05917098309341484,-0.01425467737378594
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.3,120,38,0.31666666666666665,1.6973026979512469,0.00013855854216151246,0.00043755329103635515,0.6052631578947368,0.15707402497299267,0.016200158207909876,-0.016188332609403666
