train_window,forecast_year,calendar_year,month,information_date,target_quarter_end,months_before_quarter_end,latest_released_monthly_period,latest_released_gdp_quarter_end,bridge_gdp_raw,actual_gdp_raw,bridge_nowcast_error_raw,bridge_abs_error_raw,bridge_squared_error_raw,model_loading_gdp_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
200701_201612,2017,2017,2017-05,2017-05-19,2017-06,1,2017-05,2017-04,7.450485677532766,7.0,0.4504856775327663,0.4504856775327663,0.2029373456621555,7.450485677532766,-36.77052286741363,8.951892301773563,-5.933822700391814
200701_201612,2017,2017,2017-06,2017-06-19,2017-06,0,2017-06,2017-04,7.528598394289165,7.0,0.5285983942891654,0.5285983942891654,0.279416262445084,7.528598394289165,-37.99486592582238,7.7808884738703235,-4.608386958204354
200701_201612,2017,2017,2017-07,2017-07-19,2017-09,2,2017-07,2017-07,7.735660166522655,6.9,0.8356601665226551,0.8356601665226551,0.6983279139126716,7.735660166522655,-38.51012866428636,5.330274521605129,-2.4786328418836403
200701_201612,2017,2017,2017-08,2017-08-19,2017-09,1,2017-08,2017-07,7.907278348344185,6.9,1.007278348344185,1.007278348344185,1.0146096710429893,7.907278348344185,-39.73368937644054,3.108497341977727,-3.7915560918699263
200701_201612,2017,2017,2017-09,2017-09-19,2017-09,0,2017-09,2017-07,7.731624731384462,6.9,0.831624731384462,0.831624731384462,0.6915996938502786,7.731624731384462,-40.8379702552866,4.818453649731143,-3.3216390941468945
200701_201612,2017,2017,2017-10,2017-10-19,2017-12,2,2017-10,2017-10,7.488252294484408,6.8,0.6882522944844078,0.6882522944844078,0.473691220863052,7.488252294484408,-41.66633958142887,7.35558037171536,-2.511801956338596
200701_201612,2017,2017,2017-11,2017-11-19,2017-12,1,2017-11,2017-10,7.500189873927388,6.8,0.7001898739273882,0.7001898739273882,0.4902658595504517,7.500189873927388,-42.61381299615772,6.994625961764308,-2.0606603766505702
200701_201612,2017,2017,2017-12,2017-12-19,2017-12,0,2017-12,2017-10,7.47417620850286,6.8,0.6741762085028604,0.6741762085028604,0.4545135601112923,7.47417620850286,-42.49513380652006,7.315414503555247,-2.8097867948112665
200801_201712,2018,2018,2018-01,2018-01-19,2018-03,2,2018-01,2018-01,7.070119188509911,6.9,0.1701191885099104,0.1701191885099104,0.0289405382992704,7.070119188509911,98.93116640629296,16.19820234052701,-5.195815461350787
200801_201712,2018,2018,2018-02,2018-02-19,2018-03,1,2018-02,2018-01,7.821361726344018,6.9,0.921361726344018,0.921361726344018,0.848907430771629,7.821361726344018,108.59665582304564,11.039263824386618,-7.027403281186427
200801_201712,2018,2018,2018-03,2018-03-19,2018-03,0,2018-03,2018-01,6.834327126393379,6.9,-0.065672873606621,0.065672873606621,0.0043129263277512,6.834327126393379,88.4264764790591,17.316501022348486,-3.7607799368231767
200801_201712,2018,2018,2018-04,2018-04-19,2018-06,2,2018-04,2018-04,6.539825660798423,6.9,-0.3601743392015777,0.3601743392015777,0.1297255546192931,6.539825660798423,77.90871240618122,18.88773978666733,-1.8846479397315143
200801_201712,2018,2018,2018-05,2018-05-19,2018-06,1,2018-05,2018-04,6.865685307360057,6.9,-0.0343146926399429,0.0343146926399429,0.0011774981309737,6.865685307360057,94.35476405909088,17.47160134798566,-5.116536964232833
200801_201712,2018,2018,2018-06,2018-06-19,2018-06,0,2018-06,2018-04,7.2309345852803055,6.9,0.3309345852803051,0.3309345852803051,0.1095176997346475,7.2309345852803055,109.36657654991234,15.65481911959811,-6.308711034690406
200801_201712,2018,2018,2018-07,2018-07-19,2018-09,2,2018-07,2018-07,7.26689612481027,6.7,0.5668961248102695,0.5668961248102695,0.3213712163249007,7.26689612481027,106.42637816303932,15.17969857765326,-5.991274131754962
200801_201712,2018,2018,2018-08,2018-08-19,2018-09,1,2018-08,2018-07,7.137685704764942,6.7,0.4376857047649416,0.4376857047649416,0.1915687761555836,7.137685704764942,106.08111435178182,16.155329618138904,-5.0285225205306405
200801_201712,2018,2018,2018-09,2018-09-19,2018-09,0,2018-09,2018-07,7.130117088160199,6.7,0.4301170881601983,0.4301170881601983,0.1850007095274078,7.130117088160199,107.71438795065228,16.323346127041948,-4.623763893789148
200801_201712,2018,2018,2018-10,2018-10-19,2018-12,2,2018-10,2018-10,6.9619590468283175,6.5,0.4619590468283174,0.4619590468283174,0.2134061609465276,6.9619590468283175,92.24089346782569,16.585680456113145,-2.012478668714363
200801_201712,2018,2018,2018-11,2018-11-19,2018-12,1,2018-11,2018-10,6.817080035671094,6.5,0.3170800356710943,0.3170800356710943,0.1005397490211824,6.817080035671094,92.66023507479474,17.733695108676823,-2.5985843466844494
200801_201712,2018,2018,2018-12,2018-12-19,2018-12,0,2018-12,2018-10,6.72809444627802,6.5,0.2280944462780203,0.2280944462780203,0.0520270764228767,6.72809444627802,93.84194562644552,18.50077756108804,-3.799596904006865
200901_201812,2019,2019,2019-01,2019-01-19,2019-03,2,2019-01,2019-01,6.611422579696406,6.4,0.2114225796964053,0.2114225796964053,0.0446995072054828,6.611422579696406,-547.9796766344955,-109.9600504528018,3.242533304598536
200901_201812,2019,2019,2019-02,2019-02-19,2019-03,1,2019-02,2019-01,6.481942512736662,6.4,0.0819425127366617,0.0819425127366617,0.0067145753935979,6.481942512736662,-537.8750828613536,-116.2750417282416,2.2013904592293554
200901_201812,2019,2019,2019-03,2019-03-19,2019-03,0,2019-03,2019-01,6.238434732655623,6.4,-0.1615652673443772,0.1615652673443772,0.0261033356120601,6.238434732655623,-569.3262678686156,-131.3878501449871,2.148807448271004
200901_201812,2019,2019,2019-04,2019-04-19,2019-06,2,2019-04,2019-04,6.336507604256552,6.1,0.2365076042565519,0.2365076042565519,0.0559358468711737,6.336507604256552,-551.1205385837383,-124.9458693335206,5.331912317133673
200901_201812,2019,2019,2019-05,2019-05-19,2019-06,1,2019-05,2019-04,6.264792111643901,6.1,0.1647921116439015,0.1647921116439015,0.0271564400600561,6.264792111643901,-570.524691143532,-130.04728060204013,8.701891431019728
200901_201812,2019,2019,2019-06,2019-06-19,2019-06,0,2019-06,2019-04,6.143926191676036,6.1,0.0439261916760367,0.0439261916760367,0.0019295103151599,6.143926191676036,-582.4103736349799,-137.309615723669,9.86058431795092
200901_201812,2019,2019,2019-07,2019-07-19,2019-09,2,2019-07,2019-07,6.124490296653294,6.0,0.1244902966532937,0.1244902966532937,0.015497833960825,6.124490296653294,-565.9925470116339,-137.30169444359905,9.83626116346178
200901_201812,2019,2019,2019-08,2019-08-19,2019-09,1,2019-08,2019-07,6.015555152189244,6.0,0.0155551521892443,0.0155551521892443,0.0002419627596305,6.015555152189244,-628.149256603948,-147.14711710323752,11.130939135789
200901_201812,2019,2019,2019-09,2019-09-19,2019-09,0,2019-09,2019-07,5.834593667357407,6.0,-0.1654063326425934,0.1654063326425934,0.0273592548782722,5.834593667357407,-676.3901390381311,-159.97331504317748,12.225639682848312
200901_201812,2019,2019,2019-10,2019-10-19,2019-12,2,2019-10,2019-10,6.083950421923765,5.9,0.1839504219237646,0.1839504219237646,0.033837757725931,6.083950421923765,-709.2676256503137,-148.67240611333216,11.949899916043194
200901_201812,2019,2019,2019-11,2019-11-19,2019-12,1,2019-11,2019-10,5.744211073415309,5.9,-0.155788926584691,0.155788926584691,0.0242701896464102,5.744211073415309,-774.1893801486772,-171.10735666381754,18.92428694800415
200901_201812,2019,2019,2019-12,2019-12-19,2019-12,0,2019-12,2019-10,5.519536609032224,5.9,-0.3804633909677761,0.3804633909677761,0.1447523918666989,5.519536609032224,-948.3993127954424,-194.36479178964663,25.422274766294212
201001_201912,2020,2020,2020-01,2020-01-19,2020-03,2,2020-01,2020-01,6.092146234851994,-6.8,12.892146234851994,12.892146234851994,166.20743454080846,6.092146234851994,-7.41879666051895,46.1870698697395,12.124765798573012
201001_201912,2020,2020,2020-02,2020-02-19,2020-03,1,2020-02,2020-01,5.82125251311041,-6.8,12.62125251311041,12.62125251311041,159.2960149996958,5.82125251311041,-8.648858461108407,54.11007794734698,16.43858554175474
201001_201912,2020,2020,2020-03,2020-03-19,2020-03,0,2020-03,2020-01,0.6105433193910708,-6.8,7.410543319391071,7.410543319391071,54.91615228857162,0.6105433193910708,-12.555726463388686,249.00222353135484,17.08981967305827
201001_201912,2020,2020,2020-04,2020-04-19,2020-06,2,2020-04,2020-04,-0.5431372409184343,3.2,-3.7431372409184345,3.7431372409184345,14.01107640435047,-0.5431372409184343,-11.017136032421307,297.3226897000468,10.613255125317332
201001_201912,2020,2020,2020-05,2020-05-19,2020-06,1,2020-05,2020-04,1.6234441573422655,3.2,-1.5765558426577346,1.5765558426577346,2.48552832501824,1.6234441573422655,-14.632395330468071,205.01685148776252,5.115117132818392
201001_201912,2020,2020,2020-06,2020-06-19,2020-06,0,2020-06,2020-04,3.1000874940482674,3.2,-0.0999125059517327,0.0999125059517327,0.009982508845555,3.1000874940482674,-14.698996233430467,147.26229900836825,1.974254410395424
201001_201912,2020,2020,2020-07,2020-07-19,2020-09,2,2020-07,2020-07,2.539696525972995,4.9,-2.360303474027005,2.360303474027005,5.57103248950395,2.539696525972995,-10.47578739865378,178.21028961439458,-1.7078443935705352
201001_201912,2020,2020,2020-08,2020-08-19,2020-09,1,2020-08,2020-07,3.81063144842621,4.9,-1.08936855157379,1.08936855157379,1.1867238411579777,3.81063144842621,-9.975644091686142,129.70055104988546,0.7890613433772429
201001_201912,2020,2020,2020-09,2020-09-19,2020-09,0,2020-09,2020-07,4.678199510131675,4.9,-0.2218004898683254,0.2218004898683254,0.0491954573058291,4.678199510131675,-9.411025203857566,97.06687446667404,0.4293951579061327
201001_201912,2020,2020,2020-10,2020-10-19,2020-12,2,2020-10,2020-10,6.9604158404864105,6.5,0.4604158404864105,0.4604158404864105,0.2119827461708077,6.9604158404864105,-6.055565398223872,15.243874693696512,-3.861445141791792
201001_201912,2020,2020,2020-11,2020-11-19,2020-12,1,2020-11,2020-10,7.082290313023631,6.5,0.5822903130236314,0.5822903130236314,0.3390620086411586,7.082290313023631,-6.523879585491194,9.481572447412418,-7.3685027496114595
201001_201912,2020,2020,2020-12,2020-12-19,2020-12,0,2020-12,2020-10,6.570713583460666,6.5,0.070713583460666,0.070713583460666,0.0050004108858485,6.570713583460666,-5.701283868919351,31.21019769204677,-7.753860208877513
201101_202012,2021,2021,2021-01,2021-01-19,2021-03,2,2021-01,2021-01,5.577522564376972,18.9,-13.322477435623028,13.322477435623028,177.4884050226847,5.577522564376972,-3.024754913262343,56.710874583314194,-10.380024819669451
201101_202012,2021,2021,2021-02,2021-02-19,2021-03,1,2021-02,2021-01,6.988982780078072,18.9,-11.911017219921929,11.911017219921929,141.87233121327668,6.988982780078072,2.487071514474549,37.29772315724631,-13.153850556053223
201101_202012,2021,2021,2021-03,2021-03-19,2021-03,0,2021-03,2021-01,12.554921671312531,18.9,-6.345078328687468,6.345078328687468,40.260018997179344,12.554921671312531,23.800402083765995,-45.36717258420349,-16.317867065027595
201101_202012,2021,2021,2021-04,2021-04-19,2021-06,2,2021-04,2021-04,11.28854655338059,8.1,3.18854655338059,3.18854655338059,10.16682912307524,11.28854655338059,19.49672623635196,-18.65727476019279,-12.234363620179655
201101_202012,2021,2021,2021-05,2021-05-19,2021-06,1,2021-05,2021-04,7.091970528744815,8.1,-1.0080294712551847,1.0080294712551847,1.0161234149190073,7.091970528744815,1.97960796685306,22.706755730371505,-8.460662620792704
201101_202012,2021,2021,2021-06,2021-06-19,2021-06,0,2021-06,2021-04,7.777572543857455,8.1,-0.3224274561425444,0.3224274561425444,0.1039594644745524,7.777572543857455,4.8962654554666845,16.743519848723793,-6.921609811218479
201101_202012,2021,2021,2021-07,2021-07-19,2021-09,2,2021-07,2021-07,8.37181970466847,5.5,2.8718197046684697,2.8718197046684697,8.247348416122097,8.37181970466847,5.766547626143364,-12.434541649018188,-3.952474263895789
201101_202012,2021,2021,2021-08,2021-08-19,2021-09,1,2021-08,2021-07,7.265050675634781,5.5,1.7650506756347817,1.7650506756347817,3.1154038875587986,7.265050675634781,0.5111025805252528,-10.731532596975976,-5.447887761588024
201101_202012,2021,2021,2021-09,2021-09-19,2021-09,0,2021-09,2021-07,5.40077599987375,5.5,-0.0992240001262496,0.0992240001262496,0.0098454022010539,5.40077599987375,-7.480315544465722,4.6072795645873,-6.200674201639057
201101_202012,2021,2021,2021-10,2021-10-19,2021-12,2,2021-10,2021-10,5.882594200263648,4.5,1.3825942002636484,1.3825942002636484,1.9115667226026776,5.882594200263648,-6.027559249456381,-8.229589967888785,-5.611530188714487
201101_202012,2021,2021,2021-11,2021-11-19,2021-12,1,2021-11,2021-10,5.774390867902029,4.5,1.2743908679020288,1.2743908679020288,1.6240720841920864,5.774390867902029,-8.030380098346035,-29.628959450550056,-2.9701533239292104
201101_202012,2021,2021,2021-12,2021-12-19,2021-12,0,2021-12,2021-10,5.193298922930092,4.5,0.6932989229300919,0.6932989229300919,0.4806633965360254,5.193298922930092,-9.974662577010722,-16.930869684304387,-0.5805784693300442
