month,sample,information_date,release_calendar_mode,target_quarter_end,target_gdp_release_date,target_gdp_released_by_information_date,monthly_release_lag_days,gdp_release_lag_days,latest_released_monthly_period,latest_released_gdp_quarter_end,is_information_month_quarter_end,months_before_quarter_end,model_loading_gdp_std,model_loading_gdp_raw,actual_gdp_raw,actual_gdp_std,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast,nowcast_gdp_std,nowcast_gdp_raw,nowcast_error_raw,abs_error_raw,squared_error_raw
2012-04,train_diagnostics,2012-04-19,monthly_19th_information_set,2012-06,2012-07-19,False,19,19,2012-04,2012-04,False,2,0.7451149445263512,7.958809108364687,7.7,0.5424782174442674,7.525260974673331,42.076832371310275,1.7442473972366663,0.7451149445263512,7.958809108364687,0.2588091083646864,0.2588091083646864,0.06698215457252399
2012-05,train_diagnostics,2012-05-19,monthly_19th_information_set,2012-06,2012-07-19,False,19,19,2012-05,2012-04,False,1,0.9539419260922118,8.225524454984237,7.7,0.5424782174442674,10.712457535942763,69.48454088736872,2.0683244728312085,0.9539419260922118,8.225524454984237,0.5255244549842368,0.5255244549842368,0.27617595278647916
2012-06,train_diagnostics,2012-06-19,monthly_19th_information_set,2012-06,2012-07-19,False,19,19,2012-06,2012-04,True,0,0.824952346051562,8.06077802091292,7.7,0.5424782174442674,6.921250990380436,26.159195805179557,1.697979308898538,0.824952346051562,8.06077802091292,0.3607780209129201,0.3607780209129201,0.1301607803738434
2012-07,train_diagnostics,2012-07-19,monthly_19th_information_set,2012-09,2012-10-19,False,19,19,2012-07,2012-07,False,2,0.5753860231855903,7.742030089928861,7.5,0.3858865670479839,2.5210304169437263,-15.158528833947152,-1.9430329939713462,0.5753860231855903,7.742030089928861,0.24203008992886144,0.24203008992886144,0.05857856443097276
2012-08,train_diagnostics,2012-08-19,monthly_19th_information_set,2012-09,2012-10-19,False,19,19,2012-08,2012-07,False,1,0.5538710426102542,7.714550999542,7.5,0.3858865670479839,1.8301497735091035,-23.232616273974134,-3.7207640484649698,0.5538710426102542,7.714550999542,0.2145509995420003,0.2145509995420003,0.04603213140447141
2012-09,train_diagnostics,2012-09-19,monthly_19th_information_set,2012-09,2012-10-19,False,19,19,2012-09,2012-07,True,0,0.44778948788039624,7.579062862771745,7.5,0.3858865670479839,-0.07151428297456452,-41.24846474751199,-2.847459870051215,0.44778948788039624,7.579062862771745,0.07906286277174512,0.07906286277174512,0.006250936269663801
2012-10,train_diagnostics,2012-10-19,monthly_19th_information_set,2012-12,2013-01-19,False,19,19,2012-10,2012-10,False,2,0.6329351020438453,7.8155321939205065,8.1,0.8556615182368337,1.30989014436231,-37.867828055532726,-2.65261697418537,0.6329351020438453,7.8155321939205065,-0.2844678060794932,0.2844678060794932,0.08092193269568014
2012-11,train_diagnostics,2012-11-19,monthly_19th_information_set,2012-12,2013-01-19,False,19,19,2012-11,2012-10,False,1,0.730258880273911,7.939834834557821,8.1,0.8556615182368337,2.797954977100067,-25.055764806596898,-3.855327242011876,0.730258880273911,7.939834834557821,-0.1601651654421783,0.1601651654421783,0.025652880221120344
2012-12,train_diagnostics,2012-12-19,monthly_19th_information_set,2012-12,2013-01-19,False,19,19,2012-12,2012-10,True,0,0.749768143665634,7.964752208303294,8.1,0.8556615182368337,3.193516794821997,-21.0787322584821,-3.3089690486329832,0.749768143665634,7.964752208303294,-0.1352477916967061,0.1352477916967061,0.0182919651588356
2013-01,train_diagnostics,2013-01-19,monthly_19th_information_set,2013-03,2013-04-19,False,19,19,2013-01,2013-01,False,2,0.7390690689538829,7.951087271910229,7.9,0.6990698678405508,3.9975885361241463,-8.472361649848906,-0.4980674972616147,0.7390690689538829,7.951087271910229,0.05108727191022844,0.05108727191022844,0.0026099093512296154
2013-02,train_diagnostics,2013-02-19,monthly_19th_information_set,2013-03,2013-04-19,False,19,19,2013-02,2013-01,False,1,1.1634108545423412,8.493059700854666,7.9,0.6990698678405508,6.179734554125795,-14.97485416374915,-2.670674804385322,1.1634108545423412,8.493059700854666,0.5930597008546652,0.5930597008546652,0.351719808777825
2013-03,train_diagnostics,2013-03-19,monthly_19th_information_set,2013-03,2013-04-19,False,19,19,2013-03,2013-01,True,0,0.7081466613446306,7.911592946981668,7.9,0.6990698678405508,2.389669645736653,-28.983322627038973,0.8457771101092519,0.7081466613446306,7.911592946981668,0.011592946981667573,0.011592946981667573,0.0001343964197197553
2013-04,train_diagnostics,2013-04-19,monthly_19th_information_set,2013-06,2013-07-19,False,19,19,2013-04,2013-04,False,2,0.0849025009658341,7.115580951704059,7.6,0.4641823922461253,-0.9606688815766752,-21.53807293725697,-0.5126171769636146,0.0849025009658341,7.115580951704059,-0.4844190482959405,0.4844190482959405,0.23466181435194475
2013-05,train_diagnostics,2013-05-19,monthly_19th_information_set,2013-06,2013-07-19,False,19,19,2013-05,2013-04,False,1,0.4366129384635967,7.564788092196794,7.6,0.4641823922461253,1.6185830697342711,-15.766693185484627,-0.8887520071038476,0.4366129384635967,7.564788092196794,-0.03521190780320538,0.03521190780320538,0.0012398784511414359
