variable,month_of_year,count,mean,std
用电量,10,7,7.711451285714285,5.342779365205489
用电量,11,7,8.375675999999999,7.984727843816987
用电量,12,2,1.0000910000000003,4.459235979478099
社零,1,7,16.421187714285715,3.427619525214971
社零,2,10,14.193020200000001,4.164866856255146
社零,3,10,15.076085799999998,3.259460479412669
社零,4,10,15.042069436,3.446622343495647
社零,5,10,15.178745900000001,3.2915306722922986
社零,6,10,15.394173499999999,3.542807773309039
社零,7,10,15.2695482,3.627283676283913
社零,8,10,15.4163794,3.655725862708623
社零,9,10,15.6140252,3.699120369584333
社零,10,10,15.6917945,3.416059942174685
社零,11,10,15.7027084,3.1735511647696355
社零,12,10,16.0326518,3.2021223548260687
固投累计同比,1,0,,
固投累计同比,2,10,22.68,4.175537224251642
固投累计同比,3,10,23.39,5.094321457378902
固投累计同比,4,10,23.29,5.724887189572676
固投累计同比,5,10,23.55,6.351421538172031
固投累计同比,6,10,23.8403,6.594111582818921
固投累计同比,7,10,23.63,6.510854185298745
固投累计同比,8,10,23.39,6.495887587970988
固投累计同比,9,10,23.2,6.618996231386684
固投累计同比,10,10,23.02,6.5218947485459395
固投累计同比,11,10,22.830000000000002,6.331587478665996
固投累计同比,12,10,22.1498,5.844397161194452
固投当月同比,1,0,,
固投当月同比,2,9,15.16156173222658,21.734001883843593
固投当月同比,3,10,33.4872139232865,9.893562097536778
固投当月同比,4,10,25.096720810894404,7.312709210103889
固投当月同比,5,10,31.833007224519115,7.383918350409643
固投当月同比,6,10,32.37388432126876,11.880495425561076
固投当月同比,7,10,16.529937091885085,15.57353292929555
固投当月同比,8,10,23.011490229803588,8.051687683354391
固投当月同比,9,10,27.064467254658762,5.858610368927118
固投当月同比,10,10,19.756898657225673,11.663106976969214
固投当月同比,11,10,18.819842629527628,8.99215016365351
固投当月同比,12,10,21.37423652261156,7.368858117371744
CPI,1,10,2.83804,2.01968929084539
CPI,2,10,2.8146,2.6941367378479923
CPI,3,10,2.84132,2.5967722788963314
CPI,4,10,2.8242599999999998,2.603907160488723
CPI,5,10,2.85212,2.4608771605985447
CPI,6,10,2.9150400000000003,2.5404235771925037
CPI,7,10,2.93566,2.5732459567203785
CPI,8,10,2.9663899999999996,2.3535980070474607
CPI,9,10,2.9341999999999997,2.218156938140812
CPI,10,10,2.90693,2.181986413059847
CPI,11,10,2.90679,1.9463144604040163
CPI,12,10,2.91743,1.6690401433491981
PPI,1,10,1.3149799999999998,3.9176509973877627
PPI,2,10,1.1982400000000002,4.425524134482704
PPI,3,10,1.12578,4.924619259011017
PPI,4,10,1.00233,5.126425217558745
PPI,5,10,0.9846600000000001,5.311540567523178
PPI,6,10,0.98773,5.5339256847698595
PPI,7,10,0.9148599999999998,5.733825496743959
PPI,8,10,0.7513799999999999,5.749859986469236
PPI,9,10,0.6555399999999999,5.392367633403511
PPI,10,10,0.44672,4.648111495316016
PPI,11,10,0.38071999999999984,3.775763273182141
PPI,12,10,0.4194799999999999,3.8145862792415346
逆回购7天(19日),1,10,3.7842700000000002,0.20910288297071997
逆回购7天(19日),2,10,3.75927,0.1800929207690049
逆回购7天(19日),3,10,3.73927,0.18000282127418624
逆回购7天(19日),4,10,3.70927,0.2176059489076527
逆回购7天(19日),5,10,3.66366,0.2518106219628817
逆回购7天(19日),6,10,3.66366,0.2518106219628817
逆回购7天(19日),7,10,3.5836599999999996,0.4382456571376378
逆回购7天(19日),8,10,3.6386600000000002,0.44017134340567365
逆回购7天(19日),9,10,3.62366,0.4836901331316247
逆回购7天(19日),10,10,3.62366,0.4836901331316247
逆回购7天(19日),11,10,3.63366,0.5291369602160357
逆回购7天(19日),12,10,3.63366,0.5291369602160357
银行间7天回购(20-19均值),1,10,3.0266719354838707,1.5832483640672967
银行间7天回购(20-19均值),2,10,3.149032258064516,1.395449942456952
银行间7天回购(20-19均值),3,10,2.60311921182266,1.1703016338157788
银行间7天回购(20-19均值),4,10,2.549444193548387,0.9452228117438883
银行间7天回购(20-19均值),5,10,2.614559615591398,0.8832099061749454
银行间7天回购(20-19均值),6,10,2.911976129032258,1.299674026121747
银行间7天回购(20-19均值),7,10,3.2538676633333337,1.3408013652441502
银行间7天回购(20-19均值),8,10,2.9281996774193546,0.9398884303404942
银行间7天回购(20-19均值),9,10,2.9394841935483873,0.8291018676513058
银行间7天回购(20-19均值),10,10,3.0034403333333333,0.8183831250107407
银行间7天回购(20-19均值),11,10,2.9883283870967743,0.9430849533218637
银行间7天回购(20-19均值),12,10,2.975727333333334,0.9472103393452108
