month,逆回购7天_月末_较上月变动,MLF1Y_月末_较上月变动,LPR1Y_月末_较上月变动,DR007_月均_较上月变动,资金利差_DR007减逆回购_较上月变动,资金利差_DR007减MLF_较上月变动
2016-10,0.0,0.0,0.0,0.16088571428571408,0.16088571428571408,0.16088571428571408
2016-11,0.0,0.0,0.0,0.029640909090908885,0.029640909090908885,0.029640909090908885
2016-12,0.0,0.0,0.0,0.30771126482213473,0.30771126482213473,0.30771126482213473
2017-01,0.0,0.10000000000000009,0.0,-0.3354363844393595,-0.3354363844393595,-0.4354363844393596
2017-02,0.10000000000000009,0.0,0.0,0.37950000000000017,0.2795000000000001,0.37950000000000017
2017-03,0.10000000000000009,0.10000000000000009,0.0,0.41295377574370695,0.31295377574370686,0.31295377574370686
2017-04,0.0,0.0,0.0,-0.15676956521739127,-0.15676956521739127,-0.15676956521739127
2017-05,0.0,0.0,0.0,-0.0488000000000004,-0.0488000000000004,-0.0488000000000004
2017-06,0.0,0.0,0.0,0.19398636363636435,0.19398636363636435,0.19398636363636435
2017-07,0.0,0.0,0.0,-0.13836255411255483,-0.13836255411255483,-0.13836255411255483
2017-08,0.0,0.0,0.0,0.23121097308488636,0.23121097308488636,0.23121097308488636
2017-09,0.0,0.0,0.0,-0.08377569169960486,-0.08377569169960486,-0.08377569169960486
2017-10,0.0,0.0,0.0,-0.10387673796791441,-0.10387673796791441,-0.10387673796791441
2017-11,0.0,0.0,0.0,0.11136310160427865,0.11136310160427865,0.11136310160427865
2017-12,0.04999999999999982,0.04999999999999982,0.0,0.22060692640692636,0.17060692640692654,0.17060692640692654
2018-01,0.0,0.0,0.0,-0.45922965367965407,-0.45922965367965407,-0.45922965367965407
2018-02,0.0,0.0,0.0,-0.16202272727272726,-0.16202272727272726,-0.16202272727272726
2018-03,0.04999999999999982,0.0,0.0,0.21646818181818173,0.1664681818181819,0.21646818181818173
2018-04,0.0,0.04999999999999982,0.009999999999999787,0.36818181818181817,0.36818181818181817,0.31818181818181834
2018-05,0.0,0.0,0.0,-0.47219545454545475,-0.47219545454545475,-0.47219545454545475
2018-06,0.0,0.0,0.0,0.15492545454545503,0.15492545454545503,0.15492545454545503
2018-07,0.0,0.0,0.0,-0.6062254545454548,-0.6062254545454548,-0.6062254545454548
2018-08,0.0,0.0,0.0,-0.17688498023715438,-0.17688498023715438,-0.17688498023715438
2018-09,0.0,0.0,0.0,0.18343519668737107,0.18343519668737107,0.18343519668737107
2018-10,0.0,0.0,0.0,-0.0874103174603178,-0.0874103174603178,0.0
2018-11,0.0,0.0,0.0,0.03486919191919213,0.0,-0.052541125541125666
2018-12,0.0,0.0,0.0,0.45013160173160216,0.4850007936507943,0.45013160173160216
2019-01,0.0,0.0,0.0,-0.5552088744588746,-0.5552088744588746,0.0
2019-02,0.0,0.0,0.0,0.003613636363636097,0.003613636363636097,0.0
2019-03,0.0,0.0,0.0,0.2000047619047618,0.2000047619047618,0.0
2019-04,0.0,0.0,0.0,-0.038691125541125526,-0.038691125541125526,-0.3902816017316022
2019-05,0.0,0.0,0.0,-0.10185173160173155,-0.10185173160173155,-0.10185173160173155
2019-06,0.0,0.0,0.0,-0.14857769423558898,-0.14857769423558898,-0.14857769423558898
2019-07,0.0,0.0,0.0,0.12158535469107568,0.12158535469107568,0.12158535469107568
2019-08,0.0,0.0,-0.05999999999999961,0.16090770750988126,0.16090770750988126,0.16090770750988126
2019-09,0.0,0.0,-0.04999999999999982,-0.059362987012987034,-0.059362987012987034,-0.059362987012987034
2019-10,0.0,0.0,0.0,0.07637518796992504,0.07637518796992504,0.07637518796992504
2019-11,-0.04999999999999982,-0.04999999999999982,-0.04999999999999982,-0.10861328320802022,-0.058613283208020395,-0.058613283208020395
2019-12,0.0,0.0,0.0,-0.09896709956709993,-0.09896709956709993,-0.09896709956709993
2020-01,0.0,0.0,0.0,0.07696149732620361,0.0,0.07696149732620361
2020-02,-0.10000000000000009,-0.10000000000000009,-0.10000000000000053,-0.30785058823529443,-0.13088909090909073,-0.20785058823529434
2020-03,-0.19999999999999973,0.0,0.0,-0.32127454545454537,-0.12127454545454563,-0.32127454545454537
