month,quarter,nowcasting_GDP,actual_gdp_yoy,actual_gdp_lag1,actual_gdp_lag2,past2_actual_gdp_mean,gdp_gap_vs_lag2_avg,gdp_signal_direction,gdp_signal_abs,nowcasting_gdp_diff,actual_gdp_yoy_diff,中债-新综合财富(3-5年)指数,中债-新综合净价(3-5年)指数,中债-新综合全价(3-5年)指数,中债-综合财富(3-5年)指数,中债-综合净价(3-5年)指数,中债-综合全价(3-5年)指数,中债-新综合财富(5-7年)指数,中债-新综合净价(5-7年)指数,中债-新综合全价(5-7年)指数,中债-综合财富(5-7年)指数,中债-综合净价(5-7年)指数,中债-综合全价(5-7年)指数
2018-07,2018Q3,6.924196458261887,6.7,6.9,6.9,6.9,0.02419645826188699,1.0,0.02419645826188699,-0.09461398270383281,-0.20000000000000018,0.0135867883822904,0.0135858246018776,0.0128858222200969,0.0128854677369267,0.0178614534409162,0.0179019364074541,0.016136832989837,0.016170698473179,0.0117044495532985,0.0117041607248529,0.0109538057752194,0.0109537160936481
2018-08,2018Q3,7.013489282223539,6.7,6.9,6.9,6.9,0.11348928222353827,1.0,0.11348928222353827,0.08929282396165128,0.0,0.0008332567472351,0.0008331166956996,0.0013409733812601,0.001340236280765,0.0054082928213312,0.0054263282586968,0.0022778761727353,0.0022864003160323,-0.0024909229080469,-0.0024910663222419,-0.0028027761506648,-0.0028020388236452
2018-09,2018Q3,7.120681702816979,6.7,6.9,6.9,6.9,0.22068170281697874,1.0,0.22068170281697874,0.10719242059344047,0.0,0.0014286181440634,0.0014277900800341,0.0013537583285869,0.0013530689300498,0.0056648177404174,0.0056770609654119,0.0052262986813986,0.0052502403659426,0.0008079831431024,0.0008070667457682,8.456584341076656e-05,8.445596879091966e-05
2018-10,2018Q4,7.241820182582654,6.5,6.7,6.9,6.800000000000001,0.4418201825826529,1.0,0.4418201825826529,0.12113847976567449,-0.20000000000000018,0.0076444111871327,0.0076434582857751,0.0091232018151554,0.0091226655542149,0.0119976379830812,0.0120110488799711,0.0154399628676038,0.0154634782430127,0.0109392707474333,0.0109389392865237,0.0122540252840734,0.0122539597368609
2018-11,2018Q4,7.043055099049143,6.5,6.7,6.9,6.800000000000001,0.24305509904914224,1.0,0.24305509904914224,-0.19876508353351063,0.0,0.0082633784035324,0.0082639320045387,0.0077091707260292,0.0077083617274369,0.0123679072083955,0.0123859171229285,0.0180476162863447,0.0180697031598231,0.0138649043411631,0.0138657144444422,0.0148957254974826,0.0148953157317539
2018-12,2018Q4,6.8500937804632525,6.5,6.7,6.9,6.800000000000001,0.05009378046325175,1.0,0.05009378046325175,-0.1929613185858905,0.0,0.0050706744814748,0.005070132960721,0.0066150147627097,0.0066150485450298,0.0090949534169093,0.0091050255917362,0.013142665104699,0.0131564862547681,0.0090431479235759,0.0090427237717021,0.0106876657662726,0.0106876946463652
2019-01,2019Q1,6.0093938871779695,6.4,6.5,6.7,6.6,-0.5906061128220301,-1.0,0.5906061128220301,-0.8406998932852829,-0.09999999999999964,0.0087242210337246,0.0087240057406983,0.0101166668341208,0.0101157420563695,0.0130907604545014,0.0131007191917449,0.0161155179718297,0.0161306723849972,0.0116584053356874,0.0116581444661223,0.0128134023866621,0.0128137516338036
2019-02,2019Q1,6.0820818843226405,6.4,6.5,6.7,6.6,-0.5179181156773591,-1.0,0.5179181156773591,0.072687997144671,0.0,-0.0032201848764963,-0.0032205588164171,-0.0015282228692994,-0.0015292253466834,0.0008918057067472,0.0008924252365687,-0.0007704518271938,-0.0007738557902147,-0.0050106294533504,-0.0050109183707632,-0.0025510116583375,-0.0025505677977617
2019-03,2019Q1,5.922229307775696,6.4,6.5,6.7,6.6,-0.6777706922243034,-1.0,0.6777706922243034,-0.1598525765469443,0.0,-0.0038400711574857,-0.0038398650350404,-0.00416551258721,-0.0041652178952249,0.0001704640303246,0.0001759281727737,-0.0020121401725933,-0.0020129538526308,-0.0061485516889671,-0.0061489064681247,-0.0051234982259544,-0.0051237468252041
2019-04,2019Q2,6.16283896538667,6.1,6.4,6.5,6.45,-0.2871610346133302,-1.0,0.2871610346133302,0.24060965761097375,-0.3000000000000007,-0.0070521267698011,-0.007053182827907,-0.007628781617621,-0.0076291117215534,-0.002559554388761,-0.0025530245510032,-0.0048054364533612,-0.0048080760399746,-0.0093996654435873,-0.0093992739909948,-0.0107758490553017,-0.010775344173687
2019-05,2019Q2,6.119885448029922,6.1,6.4,6.5,6.45,-0.33011455197007855,-1.0,0.33011455197007855,-0.04295351735674835,0.0,0.0045269014449942,0.0045261276867873,0.0057556139626187,0.005755375887956,0.0086243797344065,0.0086302919383334,0.011224223569094,0.0112364863666722,0.0071369162534884,0.0071363813345688,0.0086883459423994,0.0086883467307299
2019-06,2019Q2,6.0033720298818585,6.1,6.4,6.5,6.45,-0.4466279701181417,-1.0,0.4466279701181417,-0.11651341814806315,0.0,0.0023457852249701,0.0023451075596476,0.0014718174219574,0.0014716810810564,0.0064570564964754,0.0064684613307832,0.008951642176632,0.0089620809514794,0.0048813448307338,0.0048816296568177,0.0045926033638699,0.004591748481211
2019-07,2019Q3,6.296973802246106,6.0,6.1,6.4,6.25,0.046973802246106366,1.0,0.046973802246106366,0.2936017723642479,-0.09999999999999964,0.0034424789863254,0.003441300230057,0.0027889571097978,0.0027899543420601,0.0077267748281519,0.0077381738693229,0.010373721780692,0.0103855065132896,0.0061529605556134,0.0061523806487846,0.0069225173386535,0.0069217443109219
2019-08,2019Q3,6.092891912500615,6.0,6.1,6.4,6.25,-0.15710808749938465,-1.0,0.15710808749938465,-0.20408188974549102,0.0,0.0027701025007953,0.0027694220510969,0.002362040701729,0.002361511185364,0.0068419944334121,0.0068497764728367,0.0082109741894098,0.0082146952998782,0.0042467219595148,0.0042469674507938,0.0035811426890222,0.0035816383246556
2019-09,2019Q3,5.852536690735344,6.0,6.1,6.4,6.25,-0.3974633092646558,-1.0,0.3974633092646558,-0.24035522176527113,0.0,-0.0007397260820238,-0.0007404195111032,-0.0020285989131474,-0.0020287061926257,0.0035854526281531,0.0035904826923562,0.001335963939463,0.0013332666699998,-0.0028665222280627,-0.0028657625283238,-0.0050547318972246,-0.005054558435805
2019-10,2019Q4,5.974223420978734,5.9,6.0,6.1,6.05,-0.07577657902126589,-1.0,0.07577657902126589,0.12168673024338972,-0.09999999999999964,-0.0041408239162501,-0.0041403024759847,-0.0033130956749007,-0.00331330956361,0.0002352496728945,0.0002333347340008,-0.0023704895710836,-0.002377384040716,-0.0066065999134473,-0.00660605773544,-0.0051165848572372,-0.0051159137664824
2019-11,2019Q4,5.711077630476286,5.9,6.0,6.1,6.05,-0.338922369523714,-1.0,0.338922369523714,-0.26314579050244813,0.0,0.001082439122785,0.0010819131346857,0.0015125734362086,0.0015126108370808,0.0051783277067849,0.0051816973549316,0.0074878702020055,0.0074933177655993,0.0036204704564026,0.0036197486187432,0.0039118991645019,0.0039120599364939
2019-12,2019Q4,5.781186451996099,5.9,6.0,6.1,6.05,-0.26881354800390067,-1.0,0.26881354800390067,0.07010882151981335,0.0,0.003836783011156,0.0038365576424028,0.0054365890845502,0.0054363492970004,0.0080635629648919,0.0080713269538765,0.0108706592377922,0.0108880777153534,0.0069034719530223,0.0069029414710692,0.0080325708923267,0.0080324954084636
2020-01,2020Q1,6.0951409683192646,-6.8,5.9,6.0,5.95,0.14514096831926437,1.0,0.14514096831926437,0.3139545163231654,-12.7,0.0056684090300047,0.0056673968915186,0.0067169408869569,0.006717780013723,0.0090996304129089,0.0091079082429967,0.010422580583054,0.0104403059025575,0.0071892108228217,0.0071896294817328,0.0090489192844565,0.0090483013936908
2020-02,2020Q1,5.925992764243283,-6.8,5.9,6.0,5.95,-0.02400723575671737,-1.0,0.02400723575671737,-0.16914820407598175,0.0,0.0098777577886517,0.0098774979523352,0.0105661499759004,0.0105666824016004,0.0136858998572377,0.0137181329242956,0.0186899895604624,0.0187331874636509,0.0151555177958824,0.0151545556639725,0.0148469259607244,0.014847098951638
2020-03,2020Q1,1.95858341870604,-6.8,5.9,6.0,5.95,-3.99141658129396,-1.0,3.99141658129396,-3.967409345537243,0.0,0.0065748419774132,0.0065750857030113,0.0058083149492171,0.00580886455728,0.0104928898189067,0.0105466902008812,0.014016996067607,0.0140862470337914,0.0103831618890162,0.0103837669083322,0.0102929909911264,0.010292847794703
2020-04,2020Q2,-6.890071268557498,3.2,-6.8,5.9,-0.44999999999999973,-6.440071268557498,-1.0,6.440071268557498,-8.848654687263538,10.0,0.02095038464863,0.0209500781689946,0.0199379797942178,0.0199381466236512,0.0246788078759718,0.0247522244599309,0.0299670268235079,0.0300418739552019,0.0265045484769261,0.0265042733339251,0.0243584988198739,0.0243581618477217
2020-05,2020Q2,-3.4562638952637625,3.2,-6.8,5.9,-0.44999999999999973,-3.006263895263763,-1.0,3.006263895263763,3.4338073732937353,0.0,-0.0084359080629002,-0.0084358442041334,-0.0070336404785704,-0.0070328503414354,-0.0044340972302443,-0.0044230386125271,-0.0083879238527512,-0.0083786112821626,-0.0121600250055721,-0.0121607269084721,-0.0112601096770293,-0.0112595939027708
2020-06,2020Q2,-0.7176825577984962,3.2,-6.8,5.9,-0.44999999999999973,-0.2676825577984965,-1.0,0.2676825577984965,2.7385813374652663,0.0,-0.0202285790682645,-0.0202272961200024,-0.0203479807203889,-0.0203480133266763,-0.0157846059178946,-0.0157905441376052,-0.0147201232649074,-0.0147261539177159,-0.0188296543814435,-0.0188289605898823,-0.0187837177100923,-0.0187830575924742
2020-07,2020Q3,4.834423828845662,4.9,3.2,-6.8,-1.7999999999999998,6.634423828845661,1.0,6.634423828845661,5.552106386644158,1.7000000000000002,-0.0050535053743,-0.0050531614014683,-0.0047147630907533,-0.0047148016059932,-0.0010387978129068,-0.0010273073858294,-0.0009245106088503,-0.0009127173621603,-0.0046871890195248,-0.0046874629084182,-0.0040403243340348,-0.0040407207039275
2020-08,2020Q3,5.581309066459834,4.9,3.2,-6.8,-1.7999999999999998,7.381309066459834,1.0,7.381309066459834,0.7468852376141726,0.0,-0.0050607751548535,-0.0050613637907677,-0.0058848248004874,-0.005885380919698,-0.0007392847909478,-0.0007443038483956,0.0008198842543289,0.0008159602557833,-0.0032295956428514,-0.0032297828106744,-0.002851228767985,-0.0028513613735693
